emp_code,EMP_AGR,EMP_MIN,EMP_UTIL,EMP_CONSTR,EMP_FOOD,EMP_WOOD,EMP_METAL,EMP_WHOLE,EMP_RETAIL,EMP_SPORT,EMP_TRANS,EMP_POSTAL,EMP_INFO,EMP_FINANC,EMP_REALES,EMP_PROF,EMP_MGMT,EMP_ADMIN,EMP_EDUC,EMP_HEALTH,EMP_ARTS,EMP_ACCFD,EMP_OTHER,EMP_PUBADM
occ1,0.2748,0.2092,0.3390,0.1897,0.2038,0.1957,0.4150,0.1783,0.0797,0.0891,0.1163,0.0963,0.4606,0.4435,0.3360,0.6293,0.4922,0.1537,0.1690,0.2420,0.5609,0.1396,0.3969,0.3331
occ2,0.0029,0.0118,0.0130,0.0011,0.0054,0.0035,0.0049,0.0039,0.0392,0.0080,0.0062,0.0000,0.0322,0.0227,0.0176,0.1615,0.1277,0.0314,0.6133,0.5336,0.0492,0.0011,0.1392,0.1565
occ3,0.0363,0.0204,0.0202,0.0093,0.0341,0.0117,0.0093,0.0116,0.0457,0.0335,0.0194,0.0223,0.0242,0.0074,0.0986,0.0051,0.0039,0.4331,0.0647,0.0569,0.1841,0.7223,0.0761,0.2347
occ4,0.0629,0.0769,0.2269,0.0744,0.1476,0.1600,0.1195,0.5221,0.6355,0.7505,0.1489,0.6093,0.3265,0.5232,0.4768,0.1764,0.3636,0.2311,0.1152,0.1471,0.1497,0.1061,0.1539,0.2037
occ5,0.5465,0.4603,0.1967,0.6801,0.0542,0.0934,0.0602,0.0731,0.0517,0.0160,0.0863,0.0133,0.1019,0.0008,0.0465,0.0095,0.0000,0.0404,0.0145,0.0054,0.0318,0.0054,0.1336,0.0367
occ6,0.0766,0.2214,0.2042,0.0453,0.5550,0.5358,0.3911,0.2110,0.1481,0.1029,0.6228,0.2588,0.0546,0.0024,0.0245,0.0182,0.0125,0.1103,0.0232,0.0148,0.0242,0.0255,0.1003,0.0281
