Time,From Work to Visit,From Visit to Work,Visit to Visit
0,0.001,0.001,0
30,0.001,0,0
100,0.001,0,0
130,0.001,0,0
200,0.001,0,0
230,0,0,0.001
300,0,0,0
330,0,0,0
400,0.001,0,0
430,0,0,0
500,0.002,0,0
530,0.001,0.002,0
600,0.002,0.001,0
630,0.013,0,0
700,0.018,0,0.002
730,0.035,0.007,0.005
800,0.036,0.01,0.008
830,0.04,0.007,0.013
900,0.039,0.009,0.019
930,0.037,0.024,0.027
1000,0.039,0.022,0.032
1030,0.022,0.031,0.031
1100,0.019,0.028,0.032
1130,0.026,0.042,0.029
1200,0.022,0.025,0.024
1230,0.022,0.022,0.026
1300,0.022,0.019,0.03
1330,0.017,0.027,0.028
1400,0.017,0.031,0.029
1430,0.02,0.036,0.027
1500,0.013,0.039,0.026
1530,0.008,0.038,0.024
1600,0.009,0.03,0.014
1630,0.004,0.013,0.009
1700,0.002,0.008,0.008
1730,0.003,0.003,0.006
1800,0.001,0.003,0.008
1830,0.001,0.002,0.006
1900,0.001,0.002,0.007
1930,0.001,0.001,0.008
2000,0.001,0.005,0.004
2030,0.001,0.001,0.003
2100,0,0.001,0.003
2130,0.001,0.004,0.003
2200,0,0.003,0.002
2230,0,0.001,0.001
2300,0,0,0
2330,0.001,0.001,0
