"id","purpose","freq_stop","freq_trip"
1,"atwork",0,11
10,"atwork",22,233
11,"atwork",28,299
12,"atwork",16,341
13,"atwork",45,470
14,"atwork",54,636
15,"atwork",113,1570
16,"atwork",152,2158
17,"atwork",133,2561
18,"atwork",118,1670
19,"atwork",43,837
2,"atwork",3,6
20,"atwork",54,626
21,"atwork",19,478
22,"atwork",19,358
23,"atwork",18,286
24,"atwork",10,226
25,"atwork",17,239
26,"atwork",16,183
27,"atwork",6,145
28,"atwork",8,155
29,"atwork",22,156
3,"atwork",1,20
30,"atwork",14,150
31,"atwork",12,135
32,"atwork",10,137
33,"atwork",4,103
34,"atwork",6,106
35,"atwork",9,106
36,"atwork",8,117
37,"atwork",3,92
38,"atwork",7,70
39,"atwork",2,57
4,"atwork",4,40
40,"atwork",5,73
5,"atwork",4,58
6,"atwork",9,85
7,"atwork",13,112
8,"atwork",15,156
9,"atwork",18,197
1,"esco",6,71
10,"esco",384,2162
11,"esco",256,1451
12,"esco",229,1279
13,"esco",254,1435
14,"esco",250,1536
15,"esco",236,1481
16,"esco",230,1656
17,"esco",349,2025
18,"esco",346,2129
19,"esco",585,4378
2,"esco",18,144
20,"esco",1355,9431
21,"esco",1828,12070
22,"esco",1678,11119
23,"esco",890,6199
24,"esco",666,4825
25,"esco",427,3208
26,"esco",340,2600
27,"esco",285,2139
28,"esco",229,1694
29,"esco",179,1339
3,"esco",49,412
30,"esco",157,1167
31,"esco",151,1006
32,"esco",123,795
33,"esco",111,665
34,"esco",106,598
35,"esco",85,494
36,"esco",74,455
37,"esco",45,328
38,"esco",51,284
39,"esco",35,264
4,"esco",105,991
40,"esco",54,336
5,"esco",295,2423
6,"esco",917,7001
7,"esco",1915,13913
8,"esco",1580,11705
9,"esco",1113,7098
1,"idisc",20,131
10,"idisc",343,2169
11,"idisc",401,2367
12,"idisc",333,2076
13,"idisc",377,2192
14,"idisc",509,2794
15,"idisc",433,2649
16,"idisc",464,2571
17,"idisc",366,2254
18,"idisc",335,2165
19,"idisc",358,2203
2,"idisc",29,176
20,"idisc",324,1979
21,"idisc",364,1970
22,"idisc",358,2006
23,"idisc",374,2306
24,"idisc",368,2496
25,"idisc",473,2966
26,"idisc",483,3199
27,"idisc",598,3894
28,"idisc",720,4667
29,"idisc",692,5015
3,"idisc",43,268
30,"idisc",565,3627
31,"idisc",410,2836
32,"idisc",457,2875
33,"idisc",534,2857
34,"idisc",566,2939
35,"idisc",286,1461
36,"idisc",318,1320
37,"idisc",175,802
38,"idisc",146,648
39,"idisc",60,306
4,"idisc",74,408
40,"idisc",63,303
5,"idisc",80,576
6,"idisc",107,768
7,"idisc",189,1322
8,"idisc",249,1514
9,"idisc",278,1741
1,"imain",32,104
10,"imain",1543,6069
11,"imain",2030,7904
12,"imain",2776,10225
13,"imain",2968,11002
14,"imain",2853,10786
15,"imain",2646,9927
16,"imain",2560,9479
17,"imain",2319,8644
18,"imain",2194,8170
19,"imain",2517,9110
2,"imain",64,207
20,"imain",2323,8441
21,"imain",2089,7660
22,"imain",2185,7962
23,"imain",2003,7604
24,"imain",2196,7765
25,"imain",1802,6575
26,"imain",1475,5463
27,"imain",1307,4929
28,"imain",1304,4901
29,"imain",1148,4151
3,"imain",82,357
30,"imain",1061,3911
31,"imain",994,3521
32,"imain",930,3162
33,"imain",650,2208
34,"imain",476,1608
35,"imain",282,985
36,"imain",245,749
37,"imain",189,575
38,"imain",146,431
39,"imain",119,330
4,"imain",157,595
40,"imain",91,238
5,"imain",249,989
6,"imain",452,1757
7,"imain",740,3010
8,"imain",896,3862
9,"imain",1225,5058
1,"jdisc",7,88
10,"jdisc",45,315
11,"jdisc",49,335
12,"jdisc",42,311
13,"jdisc",28,308
14,"jdisc",51,405
15,"jdisc",54,440
16,"jdisc",64,389
17,"jdisc",49,372
18,"jdisc",35,347
19,"jdisc",37,323
2,"jdisc",11,103
20,"jdisc",50,306
21,"jdisc",46,329
22,"jdisc",56,370
23,"jdisc",68,503
24,"jdisc",79,679
25,"jdisc",105,881
26,"jdisc",133,1263
27,"jdisc",168,1597
28,"jdisc",205,2007
29,"jdisc",245,2437
3,"jdisc",8,118
30,"jdisc",157,1536
31,"jdisc",155,1382
32,"jdisc",152,1317
33,"jdisc",172,1281
34,"jdisc",169,1208
35,"jdisc",82,491
36,"jdisc",81,364
37,"jdisc",37,187
38,"jdisc",28,133
39,"jdisc",18,54
4,"jdisc",7,142
40,"jdisc",7,56
5,"jdisc",15,190
6,"jdisc",23,207
7,"jdisc",29,219
8,"jdisc",30,234
9,"jdisc",31,269
1,"jmain",11,47
10,"jmain",229,888
11,"jmain",328,1176
12,"jmain",415,1517
13,"jmain",511,1768
14,"jmain",480,1725
15,"jmain",461,1645
16,"jmain",438,1544
17,"jmain",322,1287
18,"jmain",334,1246
19,"jmain",357,1315
2,"jmain",22,97
20,"jmain",311,1161
21,"jmain",286,1099
22,"jmain",317,1216
23,"jmain",290,1237
