"id","purpose","freq_stop","freq_trip"
24,"jmain",371,1422
25,"jmain",339,1356
26,"jmain",327,1247
27,"jmain",343,1262
28,"jmain",372,1473
29,"jmain",362,1349
3,"jmain",42,179
30,"jmain",394,1404
31,"jmain",297,1155
32,"jmain",281,1021
33,"jmain",157,645
34,"jmain",113,453
35,"jmain",81,294
36,"jmain",42,185
37,"jmain",45,133
38,"jmain",21,74
39,"jmain",14,47
4,"jmain",55,246
40,"jmain",13,38
5,"jmain",62,304
6,"jmain",92,383
7,"jmain",100,484
8,"jmain",118,533
9,"jmain",150,642
1,"sch",19,206
10,"sch",81,960
11,"sch",44,551
12,"sch",27,419
13,"sch",43,480
14,"sch",58,616
15,"sch",78,804
16,"sch",101,999
17,"sch",142,1298
18,"sch",164,1645
19,"sch",244,2028
2,"sch",29,247
20,"sch",460,4470
21,"sch",1287,10848
22,"sch",1232,10311
23,"sch",862,6476
24,"sch",478,3775
25,"sch",461,3303
26,"sch",498,3261
27,"sch",376,2524
28,"sch",172,1340
29,"sch",94,689
3,"sch",35,325
30,"sch",63,442
31,"sch",44,279
32,"sch",16,133
33,"sch",10,76
34,"sch",10,58
35,"sch",12,47
36,"sch",10,57
37,"sch",6,44
38,"sch",11,61
39,"sch",1,36
4,"sch",41,444
40,"sch",10,44
5,"sch",432,4488
6,"sch",1471,13990
7,"sch",2323,16944
8,"sch",1210,9331
9,"sch",544,5208
1,"univ",1,3
10,"univ",122,697
11,"univ",96,570
12,"univ",92,594
13,"univ",90,497
14,"univ",76,552
15,"univ",104,572
16,"univ",158,830
17,"univ",105,582
18,"univ",72,487
19,"univ",117,498
2,"univ",1,6
20,"univ",101,485
21,"univ",126,544
22,"univ",125,537
23,"univ",92,494
24,"univ",120,496
25,"univ",124,672
26,"univ",119,630
27,"univ",103,512
28,"univ",71,459
29,"univ",76,440
3,"univ",2,10
30,"univ",61,326
31,"univ",62,318
32,"univ",60,305
33,"univ",72,319
34,"univ",60,266
35,"univ",42,239
36,"univ",27,172
37,"univ",24,149
38,"univ",17,99
39,"univ",24,96
4,"univ",12,65
40,"univ",13,71
5,"univ",30,156
6,"univ",163,669
7,"univ",251,1015
8,"univ",158,711
9,"univ",179,823
1,"work",369,1543
10,"work",1214,5539
11,"work",802,3913
12,"work",610,3214
13,"work",667,3393
14,"work",624,3288
15,"work",744,3481
16,"work",722,3584
17,"work",944,4093
18,"work",1013,4417
19,"work",1208,4896
2,"work",337,1525
20,"work",1449,5596
21,"work",1725,6220
22,"work",2110,7528
23,"work",2503,8612
24,"work",2825,10053
25,"work",3551,12743
26,"work",4067,14348
27,"work",3619,12741
28,"work",2420,9021
29,"work",1578,6104
3,"work",844,3779
30,"work",1464,5608
31,"work",967,3841
32,"work",806,3139
33,"work",559,2369
34,"work",416,1997
35,"work",421,1826
36,"work",407,1809
37,"work",349,1653
38,"work",380,1716
39,"work",416,1928
4,"work",1157,4809
40,"work",745,3488
5,"work",2122,8202
6,"work",3807,12437
7,"work",4913,16300
8,"work",3589,12382
9,"work",2170,8982
1,"Total",465,2204
10,"Total",3983,19032
11,"Total",4034,18566
12,"Total",4540,19976
13,"Total",4983,21545
14,"Total",4955,22338
15,"Total",4869,22569
16,"Total",4889,23210
17,"Total",4729,23116
18,"Total",4611,22276
19,"Total",5466,25588
2,"Total",514,2511
20,"Total",6427,32495
21,"Total",7770,41218
22,"Total",8080,41407
23,"Total",7100,33717
24,"Total",7113,31737
25,"Total",7299,31943
26,"Total",7458,32194
27,"Total",6805,29743
28,"Total",5501,25717
29,"Total",4396,21680
3,"Total",1106,5468
30,"Total",3936,18171
31,"Total",3092,14473
32,"Total",2835,12884
33,"Total",2269,10523
34,"Total",1922,9233
35,"Total",1300,5943
36,"Total",1212,5228
37,"Total",873,3963
38,"Total",807,3516
39,"Total",689,3118
4,"Total",1612,7740
40,"Total",1001,4647
5,"Total",3289,17386
6,"Total",7041,37297
7,"Total",10473,53319
8,"Total",7845,40428
9,"Total",5708,30018
