"distbin","PURPOSE","freq"
1,"work",2509
10,"work",461
11,"work",316
12,"work",234
13,"work",218
14,"work",149
15,"work",147
16,"work",129
17,"work",151
18,"work",111
19,"work",87
2,"work",32532
20,"work",68
21,"work",69
22,"work",62
23,"work",45
24,"work",42
25,"work",19
26,"work",18
27,"work",14
28,"work",27
29,"work",14
3,"work",10345
30,"work",22
31,"work",24
32,"work",7
33,"work",8
34,"work",8
35,"work",5
36,"work",3
37,"work",10
38,"work",6
39,"work",2
4,"work",5130
40,"work",5
41,"work",8
42,"work",27
5,"work",3038
6,"work",1867
7,"work",1232
8,"work",880
9,"work",584
1,"univ",125
10,"univ",30
11,"univ",28
12,"univ",18
13,"univ",33
14,"univ",16
15,"univ",8
16,"univ",4
17,"univ",6
18,"univ",1
19,"univ",8
2,"univ",1832
20,"univ",5
21,"univ",3
22,"univ",2
23,"univ",0
24,"univ",0
25,"univ",1
26,"univ",1
27,"univ",3
28,"univ",2
29,"univ",0
3,"univ",522
30,"univ",4
31,"univ",0
32,"univ",3
33,"univ",1
34,"univ",1
35,"univ",1
36,"univ",0
37,"univ",1
38,"univ",0
39,"univ",1
4,"univ",233
40,"univ",0
41,"univ",0
42,"univ",0
5,"univ",148
6,"univ",103
7,"univ",95
8,"univ",61
9,"univ",48
1,"sch",191
10,"sch",276
11,"sch",226
12,"sch",185
13,"sch",151
14,"sch",112
15,"sch",89
16,"sch",90
17,"sch",112
18,"sch",96
19,"sch",81
2,"sch",5929
20,"sch",57
21,"sch",69
22,"sch",70
23,"sch",74
24,"sch",45
25,"sch",35
26,"sch",35
27,"sch",19
28,"sch",25
29,"sch",18
3,"sch",1740
30,"sch",22
31,"sch",26
32,"sch",11
33,"sch",18
34,"sch",7
35,"sch",8
36,"sch",16
37,"sch",8
38,"sch",6
39,"sch",2
4,"sch",986
40,"sch",3
41,"sch",5
42,"sch",70
5,"sch",689
6,"sch",502
7,"sch",417
8,"sch",374
9,"sch",304
1,"esco",390
10,"esco",244
11,"esco",197
12,"esco",135
13,"esco",108
14,"esco",85
15,"esco",76
16,"esco",57
17,"esco",62
18,"esco",53
19,"esco",39
2,"esco",9325
20,"esco",41
21,"esco",23
22,"esco",24
23,"esco",17
24,"esco",20
25,"esco",14
26,"esco",11
27,"esco",6
28,"esco",12
29,"esco",9
3,"esco",2731
30,"esco",3
31,"esco",5
32,"esco",2
33,"esco",4
34,"esco",1
35,"esco",1
36,"esco",3
37,"esco",1
38,"esco",1
39,"esco",1
4,"esco",1463
40,"esco",0
41,"esco",0
42,"esco",7
5,"esco",942
6,"esco",687
7,"esco",455
8,"esco",423
9,"esco",308
1,"imain",1533
10,"imain",419
11,"imain",332
12,"imain",255
13,"imain",179
14,"imain",170
15,"imain",152
16,"imain",107
17,"imain",141
18,"imain",102
19,"imain",62
2,"imain",30599
20,"imain",63
21,"imain",61
22,"imain",88
23,"imain",53
24,"imain",41
25,"imain",25
26,"imain",17
27,"imain",17
28,"imain",19
29,"imain",16
3,"imain",7236
30,"imain",19
31,"imain",8
32,"imain",10
33,"imain",9
34,"imain",4
35,"imain",7
36,"imain",7
37,"imain",4
