"distbin","PURPOSE","freq"
38,"imain",3
39,"imain",3
4,"imain",3512
40,"imain",1
41,"imain",4
42,"imain",17
5,"imain",2155
6,"imain",1444
7,"imain",1041
8,"imain",821
9,"imain",562
1,"idisc",473
10,"idisc",148
11,"idisc",113
12,"idisc",86
13,"idisc",76
14,"idisc",43
15,"idisc",36
16,"idisc",26
17,"idisc",31
18,"idisc",33
19,"idisc",20
2,"idisc",7325
20,"idisc",21
21,"idisc",20
22,"idisc",17
23,"idisc",16
24,"idisc",14
25,"idisc",10
26,"idisc",6
27,"idisc",7
28,"idisc",2
29,"idisc",5
3,"idisc",2023
30,"idisc",5
31,"idisc",4
32,"idisc",6
33,"idisc",2
34,"idisc",2
35,"idisc",1
36,"idisc",2
37,"idisc",3
38,"idisc",3
39,"idisc",0
4,"idisc",918
40,"idisc",1
41,"idisc",0
42,"idisc",5
5,"idisc",621
6,"idisc",432
7,"idisc",353
8,"idisc",237
9,"idisc",176
1,"jmain",265
10,"jmain",92
11,"jmain",69
12,"jmain",49
13,"jmain",37
14,"jmain",34
15,"jmain",41
16,"jmain",19
17,"jmain",36
18,"jmain",25
19,"jmain",15
2,"jmain",5277
20,"jmain",14
21,"jmain",17
22,"jmain",17
23,"jmain",14
24,"jmain",7
25,"jmain",11
26,"jmain",6
27,"jmain",2
28,"jmain",8
29,"jmain",3
3,"jmain",1321
30,"jmain",4
31,"jmain",0
32,"jmain",2
33,"jmain",2
34,"jmain",0
35,"jmain",0
36,"jmain",3
37,"jmain",0
38,"jmain",2
39,"jmain",1
4,"jmain",689
40,"jmain",1
41,"jmain",2
42,"jmain",7
5,"jmain",417
6,"jmain",302
7,"jmain",197
8,"jmain",159
9,"jmain",136
1,"jdisc",92
10,"jdisc",34
11,"jdisc",23
12,"jdisc",26
13,"jdisc",12
14,"jdisc",9
15,"jdisc",11
16,"jdisc",16
17,"jdisc",6
18,"jdisc",16
19,"jdisc",9
2,"jdisc",1571
20,"jdisc",5
21,"jdisc",9
22,"jdisc",2
23,"jdisc",4
24,"jdisc",4
25,"jdisc",2
26,"jdisc",2
27,"jdisc",0
28,"jdisc",1
29,"jdisc",3
3,"jdisc",412
30,"jdisc",2
31,"jdisc",3
32,"jdisc",0
33,"jdisc",1
34,"jdisc",2
35,"jdisc",0
36,"jdisc",0
37,"jdisc",0
38,"jdisc",4
39,"jdisc",1
4,"jdisc",191
40,"jdisc",0
41,"jdisc",1
42,"jdisc",0
5,"jdisc",121
6,"jdisc",73
7,"jdisc",53
8,"jdisc",50
9,"jdisc",57
1,"atwork",33
10,"atwork",8
11,"atwork",2
12,"atwork",6
13,"atwork",2
14,"atwork",2
15,"atwork",3
16,"atwork",1
17,"atwork",2
18,"atwork",1
19,"atwork",0
2,"atwork",671
20,"atwork",3
21,"atwork",0
22,"atwork",1
23,"atwork",1
24,"atwork",1
25,"atwork",0
26,"atwork",0
27,"atwork",0
28,"atwork",0
29,"atwork",0
3,"atwork",129
30,"atwork",1
31,"atwork",0
32,"atwork",0
33,"atwork",1
34,"atwork",0
35,"atwork",0
36,"atwork",1
37,"atwork",0
38,"atwork",0
39,"atwork",0
4,"atwork",60
40,"atwork",0
41,"atwork",0
42,"atwork",0
5,"atwork",63
6,"atwork",29
7,"atwork",17
8,"atwork",13
9,"atwork",9
1,"Total",5611
10,"Total",1712
11,"Total",1306
12,"Total",994
13,"Total",816
14,"Total",620
15,"Total",563
16,"Total",449
17,"Total",547
18,"Total",438
19,"Total",321
2,"Total",95061
20,"Total",277
21,"Total",271
22,"Total",283
23,"Total",224
24,"Total",174
25,"Total",117
26,"Total",96
27,"Total",68
28,"Total",96
29,"Total",68
3,"Total",26459
30,"Total",82
31,"Total",70
32,"Total",41
33,"Total",46
34,"Total",25
35,"Total",23
36,"Total",35
37,"Total",27
38,"Total",25
39,"Total",11
4,"Total",13182
40,"Total",11
41,"Total",20
42,"Total",133
5,"Total",8194
6,"Total",5439
7,"Total",3860
8,"Total",3018
9,"Total",2184
