"","PERTYPE","nmtours","freq"
"1","1","0",54546
"2","2","0",15399
"3","3","0",5524
"4","4","0",15370
"5","5","0",10632
"6","6","0",7608
"7","7","0",31369
"8","8","0",9691
"9","Total","0",150139
"10","1","1",11915
"11","2","1",8091
"12","3","1",3054
"13","4","1",28026
"14","5","1",26719
"15","6","1",1461
"16","7","1",2652
"17","8","1",5510
"18","Total","1",87428
"19","1","2",2738
"20","2","2",2914
"21","3","2",1109
"22","4","2",6663
"23","5","2",3010
"24","6","2",83
"25","7","2",56
"26","8","2",1061
"27","Total","2",17634
"28","1","3pl",1497
"29","2","3pl",1707
"30","3","3pl",598
"31","4","3pl",4931
"32","5","3pl",672
"33","6","3pl",29
"34","7","3pl",5
"35","8","3pl",83
"36","Total","3pl",9522
