"District","Work","Univ","Schl"
"CENTRAL",6.60962747850732,9.2582053869969,2.7861889277661
"GrantsPass",6.71921866758094,5.69276180997067,2.05353332315734
"NORTHEAST",5.60602877402057,8.45694760018215,2.3691733894396
"NORTHWEST",4.80469921240423,8.2189761305872,2.13934620976046
"OtherJackson",15.4932021671218,17.9045478557114,6.84304528574334
"OtherJosephine",11.7577357632676,10.8317591733547,7.60081412258981
"SOUTH",6.12043271475115,2.01245483014623,1.98829554561581
"Total",7.25716380052716,8.66880927564414,3.08783145199174
