"purpose","nstops","freq"
"work","1",50120
"univ","1",4454
"sch","1",38660
"esco","1",41099
"imain","1",40843
"idisc","1",26054
"jmain","1",7655
"jdisc","1",8410
"atwork","1",6408
"Total","1",223703
"work","2",19617
"univ","2",1574
"sch","2",6606
"esco","2",8109
"imain","2",15098
"idisc","2",4157
"jmain","2",2812
"jdisc","2",1294
"atwork","2",585
"Total","2",59852
"work","3",9784
"univ","3",581
"sch","3",1815
"esco","3",2407
"imain","3",7635
"idisc","3",1985
"jmain","3",1449
"jdisc","3",411
"atwork","3",143
"Total","3",26210
"work","4",4105
"univ","4",189
"sch","4",829
"esco","4",1230
"imain","4",3676
"idisc","4",1156
"jmain","4",790
"jdisc","4",176
"atwork","4",63
"Total","4",12214
"work","5",1527
"univ","5",10
"sch","5",119
"esco","5",226
"imain","5",1816
"idisc","5",255
"jmain","5",253
"jdisc","5",32
"atwork","5",0
"Total","5",4238
"work","6",509
"univ","6",1
"sch","6",0
"esco","6",65
"imain","6",252
"idisc","6",133
"jmain","6",17
"jdisc","6",10
"atwork","6",0
"Total","6",987
"work","7",80
"univ","7",0
"sch","7",0
"esco","7",24
"imain","7",233
"idisc","7",7
"jmain","7",21
"jdisc","7",1
"atwork","7",0
"Total","7",366
