"purpose","avgDist"
"work",1.81272784288754
"univ",1.95932635497894
"sch",4.00331060403936
"esco",2.30124523314038
"imain",1.78948673094515
"idisc",2.02353945531511
"jmain",2.05372748828469
"jdisc",2.27869211983029
"atwork",1.54060706149895
