"distbin","CENTRAL","GrantsPass","NORTHEAST","NORTHWEST","OtherJackson","OtherJosephine","SOUTH","Total"
1,0,97,75,210,0,0,237,619
2,28,208,254,320,0,36,363,1209
3,34,58,286,337,1,30,192,938
4,62,176,280,103,2,97,33,753
5,41,592,144,147,1,49,10,984
6,85,345,120,238,3,40,29,860
7,105,107,143,120,4,101,3,583
8,80,6,82,50,18,78,3,317
9,40,0,65,38,25,103,0,271
10,110,0,46,18,72,71,3,320
11,26,0,23,2,40,104,1,196
12,19,0,50,11,56,116,11,263
13,130,0,39,3,40,50,1,263
14,75,0,12,1,57,85,2,232
15,9,0,2,17,28,31,0,87
16,57,0,55,1,32,81,1,227
17,27,0,130,99,148,56,0,460
18,29,0,97,112,23,21,0,282
19,4,0,49,72,45,26,0,196
20,7,0,74,94,36,0,0,211
21,1,0,27,158,45,0,0,231
22,0,0,24,93,61,0,0,178
23,0,0,29,11,59,7,0,106
24,0,0,9,16,24,0,0,49
25,0,0,20,8,22,2,0,52
26,0,7,22,2,53,9,0,93
27,0,16,3,0,6,4,0,29
28,0,22,19,1,3,10,0,55
29,0,32,15,0,24,5,0,76
30,0,18,2,0,21,4,0,45
31,0,6,0,0,2,4,0,12
32,0,9,0,0,5,11,0,25
33,0,3,0,0,21,1,0,25
34,0,0,0,0,3,4,0,7
35,0,0,0,0,0,3,0,3
36,0,0,0,0,2,2,0,4
37,0,0,0,0,2,0,0,2
38,0,0,0,0,10,2,0,12
39,0,0,0,0,3,1,0,4
40,0,0,0,0,0,0,0,0
41,0,3,0,0,1,2,0,6
