id,FACTYPE,am_vol,md_vol,pm_vol,day_vol
16010,3,2071.891,518.501,438.804,4081.856
16011,3,1151.157,268.659,367.205,2087.791
16020,3,2536.435,680.171,522.900,5091.509
16021,3,1065.406,242.394,388.692,1899.217
16030,3,514.498,109.346,83.504,949.526
16031,3,661.131,210.586,229.438,1325.930
16040,3,729.715,241.214,267.145,1442.266
16041,3,750.766,189.317,143.320,1487.510
16050,3,729.715,241.214,267.145,1442.266
16051,3,750.766,189.317,143.320,1487.510
16060,3,581.290,199.771,223.830,1160.215
16061,3,608.955,137.094,121.212,1206.427
16070,4,608.226,127.635,116.253,1165.461
16071,4,631.640,192.094,209.666,1205.064
16080,4,330.307,88.450,110.072,614.302
16081,4,309.831,70.103,69.191,587.227
16090,4,212.105,53.386,55.366,388.339
16091,4,211.129,57.053,72.659,400.543
16110,4,167.580,42.611,52.930,300.000
16111,4,167.580,42.611,52.930,300.000
16250,3,7118.503,2082.427,1861.961,14726.169
16251,3,6336.665,1983.349,1963.164,12630.480
16270,3,7572.891,2297.516,2096.144,15178.062
16271,3,7267.412,2041.952,1928.425,14373.594
16280,3,6846.061,1803.973,1547.375,13711.887
16281,3,7204.166,2236.066,2181.346,13957.708
16290,3,6663.968,1774.743,1522.460,13386.838
16291,3,7012.432,2185.084,2132.270,13633.211
16300,3,3893.447,965.838,765.439,8014.476
16301,3,4035.058,1374.019,1320.589,7751.154
16310,3,4312.188,1046.746,789.660,9182.245
16311,3,4676.699,1734.944,1629.199,9120.663
16320,3,4959.702,1226.048,966.036,10807.028
16321,3,6094.038,2263.858,2038.034,11835.063
16330,3,4588.547,1124.674,895.670,10083.473
16331,3,6065.028,2285.061,2044.040,11779.759
16340,3,4871.628,1186.373,924.494,10667.300
16341,3,5884.001,2264.641,2002.183,11426.295
16350,3,4113.950,1010.509,752.690,9152.891
16351,3,4617.915,1838.116,1653.205,9063.123
16360,3,4192.546,991.129,833.640,9260.432
16361,3,4612.821,1803.961,1638.111,9033.012
16370,3,4074.440,975.789,811.256,9071.393
16371,3,4510.325,1792.112,1618.291,8881.166
16380,3,4287.481,1074.295,856.521,9287.460
16381,3,4685.357,1754.287,1553.778,9120.111
16390,3,4372.836,1047.939,803.152,9308.071
16391,3,4683.195,1721.867,1603.916,9035.468
16400,4,2052.019,449.682,374.710,4184.085
16401,4,2363.142,789.363,773.272,4273.518
16410,4,1927.502,424.663,367.118,3956.828
16411,4,2212.086,750.149,728.385,4026.367
16420,4,1927.502,424.663,367.118,3956.828
16421,4,2212.086,750.149,728.385,4026.367
16430,4,1743.329,386.711,341.549,3584.307
16431,4,2013.269,683.837,651.999,3646.852
16440,4,1645.352,359.483,332.935,3358.188
16441,4,1884.278,634.943,603.669,3416.610
16450,4,1639.257,360.933,332.461,3342.771
16451,4,1878.244,629.053,594.883,3400.992
16460,4,1569.906,371.375,348.547,2806.349
16461,4,1591.753,413.856,392.875,2802.757
16470,4,1569.906,371.375,348.547,2806.349
16471,4,1591.753,413.856,392.875,2802.757
16480,4,1569.906,371.375,348.547,2806.349
16481,4,1591.753,413.856,392.875,2802.757
16490,4,1491.905,348.168,328.261,2658.447
16491,4,1513.239,397.894,369.261,2654.855
16500,4,821.989,197.852,198.243,1390.629
16501,4,825.394,198.936,198.064,1393.936
16720,30,3949.170,775.310,737.756,7203.001
16730,3,5278.833,1204.880,1167.703,9784.541
16740,3,5777.523,1372.325,1368.587,10695.847
16750,3,6595.570,1559.608,1526.700,11974.498
16760,3,5990.507,1475.348,1426.940,10898.094
16770,3,7577.903,1947.789,1827.367,13868.638
16780,3,8311.625,2124.912,2035.024,15247.797
16810,3,8274.776,2156.655,2147.269,14937.149
16820,3,8191.465,2173.442,2258.332,14786.941
16830,3,10050.927,2597.561,2654.538,18416.055
16840,3,9989.509,2595.473,2652.440,18316.920
16851,3,4520.722,1158.479,1320.769,7835.094
16861,3,5389.481,1383.694,1423.203,9642.244
16881,3,5894.907,1479.782,1509.211,10633.182
16891,3,5564.419,1392.577,1346.500,9914.414
16901,3,7501.491,1785.415,1688.080,13571.088
16911,3,8271.962,2006.415,1883.492,15010.841
16921,3,7528.179,1812.674,1709.813,13776.477
16931,3,8042.615,1928.179,1815.036,14574.887
16941,3,8464.213,1911.152,1713.992,15288.481
16951,3,7483.383,1716.106,1450.479,13519.832
16961,3,9860.066,2358.807,2142.936,17966.133
16971,3,9795.248,2339.836,2109.914,17864.763
16990,3,5415.667,1460.903,1446.095,9631.821
16991,3,8586.444,1899.790,1751.809,15997.782
17000,3,5415.667,1460.903,1446.095,9631.821
17001,3,5212.111,1161.686,1176.531,9405.451
17010,3,4932.445,1327.158,1351.903,8843.135
17011,3,4767.895,1067.143,1084.849,8680.575
17020,3,3346.918,871.189,1005.063,5824.335
17021,3,3117.529,698.233,584.692,5492.776
17030,3,3309.998,871.879,991.045,5776.895
17031,3,3136.094,701.626,590.167,5501.106
17040,3,3460.813,912.043,1038.761,6057.460
17041,3,3310.151,740.179,627.998,5814.503
17050,3,3123.183,793.327,916.010,5436.347
17051,3,2968.344,676.990,588.240,5201.681
17060,3,3114.866,783.225,913.745,5422.521
17061,3,2964.118,673.068,610.279,5211.241
17070,3,3114.866,783.225,913.745,5422.521
17071,3,2964.118,673.068,610.279,5211.241
17080,3,2721.045,628.040,714.433,4613.075
17081,3,2672.326,595.193,617.048,4570.175
17280,3,6472.238,1997.343,1801.782,11878.498
17281,3,4762.404,1045.223,1003.060,9185.251
17290,3,0.000,0.000,0.000,0.000
17291,3,0.000,0.000,0.000,0.000
17300,3,7125.683,2148.885,1995.475,12993.253
17301,3,6700.072,1463.351,1399.526,12931.327
17310,3,5803.212,1742.245,1448.283,11043.966
17311,3,5498.280,1427.597,1643.459,11102.535
17320,3,6080.753,1840.069,1537.377,11547.957
17321,3,5708.221,1469.133,1703.056,11551.701
26540,3,480.488,117.974,62.484,1094.701
26541,3,493.033,134.918,140.451,892.829
26550,3,494.852,131.394,69.047,962.126
26551,3,506.065,137.586,143.830,915.320
26560,4,492.825,129.559,67.706,955.881
26561,4,501.237,137.551,143.489,909.774
26570,4,699.922,245.647,179.455,1406.283
26571,4,544.181,151.488,145.377,1050.702
26580,4,582.447,237.738,208.962,1172.844
26581,4,377.124,95.818,86.673,811.268
26590,4,678.726,270.463,253.771,1356.460
26591,4,460.372,108.194,104.447,994.234
26600,4,778.148,184.263,179.219,1506.890
26601,4,779.944,219.845,255.862,1480.557
26610,4,729.876,242.596,245.870,1371.991
26611,4,644.469,157.609,140.722,1391.000
26620,4,768.573,259.498,275.545,1459.789
26621,4,681.039,173.053,148.926,1483.709
26640,4,190.554,40.144,33.985,335.907
26641,4,198.362,56.288,47.683,380.810
26650,4,493.305,116.747,90.152,981.107
26651,4,527.922,172.721,180.518,1010.611
27060,3,1202.600,393.074,412.922,2771.934
27061,3,2136.685,809.267,823.893,4668.574
27070,3,1038.399,308.853,271.104,2288.224
27071,3,1977.981,787.685,777.857,4209.222
27110,3,4588.816,1142.742,863.127,9350.725
27111,3,6024.380,2139.074,2097.491,11728.344
27120,3,4192.791,1092.983,766.504,8462.240
27121,3,5377.852,1817.051,1720.020,10171.651
27130,3,5640.048,1911.407,1810.166,10688.431
27131,3,4450.135,1130.764,840.116,8951.598
27140,3,5657.310,1912.542,1810.588,10709.780
27141,3,4470.819,1132.896,844.869,8981.726
27380,3,3667.857,925.540,931.526,6709.747
27381,3,4539.204,1182.740,957.334,8378.583
27390,3,3581.680,1109.863,1077.239,6572.998
27391,3,4124.714,949.156,703.934,7978.347
27400,3,3538.528,1068.170,999.086,6684.995
27401,3,4134.248,1021.820,863.960,7977.650
27410,3,2762.309,856.133,753.469,5337.621
27411,3,3199.622,837.276,658.660,6277.131
27420,3,2597.259,760.782,678.131,4856.849
27421,3,3121.641,790.494,566.542,5965.626
27430,3,2583.712,754.930,667.216,4811.685
27440,3,2257.194,673.900,578.985,4294.141
27450,3,1510.766,436.252,364.548,2790.465
27461,3,3106.811,775.667,552.907,5913.846
27471,3,2725.523,700.179,496.763,5267.175
27481,3,2124.527,559.145,398.042,4116.012
27490,3,1403.061,414.871,352.228,2650.447
27491,3,1938.007,510.197,374.732,3797.815
27500,3,1370.487,388.026,344.524,2547.406
27501,3,1937.854,469.747,375.784,3704.477
27510,3,2147.683,578.497,494.966,4089.405
27511,3,1575.181,467.624,396.785,3008.532
27520,3,1767.539,502.567,461.030,3377.635
27521,3,1257.436,362.381,281.327,2490.552
27530,3,1027.414,286.899,192.632,1993.131
27531,3,1526.211,429.987,437.384,2893.295
27540,3,5035.452,1602.686,1590.250,10360.305
27541,3,3296.244,979.928,784.443,6833.721
27550,3,2869.348,789.441,606.080,5839.097
27551,3,4711.914,1488.230,1539.613,9583.416
27560,3,2994.412,815.906,636.442,5978.627
27561,3,4814.656,1491.360,1552.942,9745.518
27570,3,2353.087,617.122,494.873,4752.865
