"","PERTYPE","MTF","freq"
"1","1","1",51279
"2","2","1",14961
"3","3","1",534
"4","6","1",0
"5","7","1",0
"6","8","1",0
"7","Total","1",66774
"8","1","2",6753
"9","2","2",2323
"10","3","2",0
"11","6","2",0
"12","7","2",0
"13","8","2",0
"14","Total","2",9076
"15","1","3",0
"16","2","3",0
"17","3","3",5500
"18","6","3",7753
"19","7","3",30924
"20","8","3",7243
"21","Total","3",51420
"22","1","4",0
"23","2","4",0
"24","3","4",380
"25","6","4",477
"26","7","4",444
"27","8","4",0
"28","Total","4",1301
"29","1","5",0
"30","2","5",0
"31","3","5",549
"32","6","5",267
"33","7","5",0
"34","8","5",0
"35","Total","5",816
