"purpose","avgTripLength"
"esco",4.07584735816403
"imain",5.12964692497807
"idisc",5.76146912303316
"jmain",5.12472184781103
"jdisc",5.67905759938068
"atwork",2.85428140005556
"Total",5.29262205891421
