"","PERTYPE","DAP","freq"
"1","1","H",5159
"2","2","H",3375
"3","3","H",911
"4","4","H",15370
"5","5","H",10632
"6","6","H",439
"7","7","H",691
"8","8","H",2449
"9","Total","H",39026
"10","1","M",58901
"11","2","M",17515
"12","3","M",6963
"13","4","M",0
"14","5","M",0
"15","6","M",8497
"16","7","M",32187
"17","8","M",7243
"18","Total","M",131306
"19","1","N",6636
"20","2","N",7221
"21","3","N",2411
"22","4","N",39620
"23","5","N",30401
"24","6","N",245
"25","7","N",1204
"26","8","N",6653
"27","Total","N",94391
