"comp","partysize","freq"
"All Adult",2,45.3670081701465
"All Children",2,24.3542435424354
"Mixed",2,25.6275807825916
"Total",2,38.6660377763008
"All Adult",3,4.15315782648165
"All Children",3,17.3431734317343
"Mixed",3,16.2810513207052
"Total",3,8.27348155135819
"All Adult",4,0.421475813772533
"All Children",4,6.82656826568266
"Mixed",4,6.00380153372223
"Total",4,2.32189181656411
"All Adult",5,0.0583581895992738
"All Children",5,1.1070110701107
"Mixed",5,2.03840859933145
"Total",5,0.718221383701734
