"esc_type","child_type","freq_out","freq_inb"
"Ride Share","Driv Student",543,270
"Pure Escort","Driv Student",428,796
"No Escort","Driv Student",8003,7908
"Ride Share","Non-DrivStudent",4335,2550
"Pure Escort","Non-DrivStudent",3993,7054
"No Escort","Non-DrivStudent",23484,22208
"Ride Share","Pre-Schooler",2176,1572
"Pure Escort","Pre-Schooler",1292,2067
"No Escort","Pre-Schooler",3775,3604
"Ride Share","Total",7054,4392
"Pure Escort","Total",5713,9917
"No Escort","Total",35262,33720
