id,From_Node,To_Node,FACTYPE,am_vol,md_vol,pm_vol,day_vol
217670,200080971,200557768,7,0.000,0.000,0.000,0.000
217670,200557768,200080971,7,0.000,0.000,0.000,0.000
217671,200552704,200559599,7,0.000,0.000,0.000,0.000
217671,200559599,200552704,7,0.000,0.000,0.000,0.000
217672,200548822,200553600,7,0.000,0.000,0.000,0.000
217672,200553600,200548822,7,0.000,0.000,0.000,0.000
217673,200553600,200556924,5,460.053,118.529,83.665,895.779
217673,200556924,200553600,5,412.051,136.626,111.500,793.837
217674,200556638,200560704,7,0.000,0.000,0.000,0.000
217674,200560704,200556638,7,0.000,0.000,0.000,0.000
217675,200551627,200553600,5,460.053,118.529,83.665,895.779
217675,200553600,200551627,5,412.051,136.626,111.500,793.837
217676,200550650,200557072,7,0.000,0.000,0.000,0.000
217676,200557072,200550650,7,0.000,0.000,0.000,0.000
217677,200547786,200559304,7,0.000,0.000,0.000,0.000
217677,200559304,200547786,7,0.000,0.000,0.000,0.000
217678,200547786,200557187,7,0.000,0.000,0.000,0.000
217678,200557187,200547786,7,0.000,0.000,0.000,0.000
217679,200549279,200557179,7,0.000,0.000,0.000,0.000
217679,200557179,200549279,7,0.000,0.000,0.000,0.000
217680,200551627,200557179,5,412.051,136.626,111.500,793.837
217680,200557179,200551627,5,460.053,118.529,83.665,895.779
217681,200553251,200558627,3,1575.181,467.624,396.785,3008.532
217681,200558627,200553251,3,2147.683,578.497,494.966,4089.405
217682,200551889,200561808,7,113.625,32.380,27.566,215.714
217682,200561808,200551889,7,112.023,31.239,28.881,216.315
217683,200557179,200561289,5,412.051,136.626,111.500,793.837
217683,200561289,200557179,5,460.053,118.529,83.665,895.779
217684,200553075,200560835,7,0.000,0.000,0.000,0.000
217684,200560835,200553075,7,0.000,0.000,0.000,0.000
217685,200550791,200554046,7,0.000,0.000,0.000,0.000
217685,200554046,200550791,7,0.000,0.000,0.000,0.000
217686,200556723,200557072,7,0.000,0.000,0.000,0.000
217686,200557072,200556723,7,0.000,0.000,0.000,0.000
217687,200547628,200556723,7,0.000,0.000,0.000,0.000
217687,200556723,200547628,7,0.000,0.000,0.000,0.000
217688,200550109,200559599,7,0.000,0.000,0.000,0.000
217688,200559599,200550109,7,0.000,0.000,0.000,0.000
217689,200547786,200550109,7,0.000,0.000,0.000,0.000
217689,200550109,200547786,7,0.000,0.000,0.000,0.000
217690,200548919,200561289,5,460.053,118.529,83.665,895.779
217690,200561289,200548919,5,412.051,136.626,111.500,793.837
217691,200547935,200558627,3,2147.683,578.497,494.966,4089.405
