"id","purpose","freq_dep","freq_arr","freq_dur"
1,"atwork",7,4,1194
1,"esc",41,25,17517
1,"idisc",122,4,554
1,"imain",76,8,4371
1,"jdisc",87,0,178
1,"jmain",42,1,978
1,"sch",196,3,436
1,"Total",1849,93,26593
1,"univ",3,0,44
1,"work",1275,48,1321
2,"atwork",5,0,2706
2,"esc",87,42,28921
2,"idisc",137,16,2901
2,"imain",144,16,13716
2,"jdisc",79,14,934
2,"jmain",70,9,1598
2,"sch",216,6,345
2,"Total",2136,107,52504
2,"univ",5,0,26
2,"work",1393,4,1357
3,"atwork",15,2,1834
3,"esc",233,134,4525
3,"idisc",205,31,4072
3,"imain",241,45,13427
3,"jdisc",79,30,1652
3,"jmain",111,38,3602
3,"sch",292,0,352
3,"Total",4663,291,31093
3,"univ",8,0,28
3,"work",3479,11,1601
4,"atwork",32,7,545
4,"esc",482,403,1005
4,"idisc",294,60,5457
4,"imain",381,102,11246
4,"jdisc",91,44,2020
4,"jmain",107,82,2501
4,"sch",399,3,369
4,"Total",5997,728,25159
4,"univ",60,0,196
4,"work",4151,27,1820
5,"atwork",43,13,441
5,"esc",1134,1003,333
5,"idisc",408,100,4980
5,"imain",635,195,7804
5,"jdisc",88,88,1692
5,"jmain",154,92,1534
5,"sch",4207,10,350
5,"Total",13371,1545,19566
5,"univ",133,3,252
5,"work",6569,41,2180
6,"atwork",58,20,85
6,"esc",3536,2603,181
6,"idisc",520,172,3651
6,"imain",1150,305,5228
6,"jdisc",105,83,1447
6,"jmain",183,127,960
6,"sch",12544,22,415
6,"Total",27609,3424,14593
6,"univ",546,1,250
6,"work",8967,91,2376
7,"atwork",62,34,106
7,"esc",7297,4882,140
7,"idisc",1013,183,2751
7,"imain",2113,413,3653
7,"jdisc",142,60,812
7,"jmain",277,122,552
7,"sch",14067,31,498
7,"Total",37228,5837,11530
7,"univ",803,4,527
7,"work",11454,108,2491
8,"atwork",104,40,87
8,"esc",4815,5271,131
8,"idisc",1069,291,2263
8,"imain",2450,646,2420
8,"jdisc",147,52,585
8,"jmain",314,121,359
8,"sch",7673,39,578
8,"Total",25777,6648,9842
8,"univ",524,7,629
8,"work",8681,181,2790
9,"atwork",121,60,70
9,"esc",2235,3711,82
9,"idisc",1172,347,1816
9,"imain",3032,960,1828
9,"jdisc",167,81,324
9,"jmain",376,127,265
9,"sch",4299,40,670
9,"Total",18478,5599,8568
9,"univ",638,19,696
9,"work",6438,254,2817
10,"atwork",140,75,43
10,"esc",503,1187,57
10,"idisc",1381,522,1066
10,"imain",3457,1345,1173
10,"jdisc",209,71,190
10,"jmain",505,198,144
10,"sch",725,37,774
10,"Total",11235,3791,6904
10,"univ",536,38,580
10,"work",3779,318,2877
11,"atwork",173,105,37
11,"esc",509,672,50
11,"idisc",1389,578,747
11,"imain",4381,1821,906
11,"jdisc",187,103,129
11,"jmain",694,232,113
11,"sch",410,38,1054
11,"Total",10521,3979,6461
11,"univ",461,32,526
11,"work",2317,398,2899
12,"atwork",189,126,15
12,"esc",533,520,44
12,"idisc",1069,632,554
12,"imain",4988,2596,611
12,"jdisc",155,113,83
12,"jmain",809,347,61
12,"sch",236,86,1390
12,"Total",10089,5001,5956
12,"univ",403,76,404
12,"work",1707,505,2794
13,"atwork",295,143,19
13,"esc",589,575,52
13,"idisc",1101,688,433
13,"imain",5096,3015,414
13,"jdisc",158,113,46
13,"jmain",872,423,56
13,"sch",211,192,2356
13,"Total",10307,5927,6360
13,"univ",322,86,339
13,"work",1663,692,2645
14,"atwork",352,230,7
14,"esc",659,609,44
14,"idisc",1348,920,338
14,"imain",4277,3600,294
14,"jdisc",228,129,38
14,"jmain",662,575,24
14,"sch",197,329,3923
14,"Total",9599,7334,7508
14,"univ",296,148,332
14,"work",1580,794,2508
15,"atwork",1148,330,3
15,"esc",649,621,28
15,"idisc",1301,890,252
15,"imain",2929,3961,307
15,"jdisc",269,115,31
15,"jmain",420,673,39
15,"sch",164,557,8643
15,"Total",8595,8459,12010
15,"univ",234,228,312
15,"work",1481,1084,2395
16,"atwork",1309,719,2
16,"esc",818,627,26
16,"idisc",1136,1005,230
16,"imain",2736,3975,347
16,"jdisc",157,173,36
16,"jmain",458,639,31
16,"sch",123,768,7595
16,"Total",8490,9600,10768
16,"univ",177,478,226
16,"work",1576,1216,2275
17,"atwork",844,1552,2
