"id","purpose","freq_as0","freq_as1","freq_as2","freq_all"
"1","work",0,10231,51856,62087
"2","work",263,3786,8859,12908
"3","work",42,663,4518,5223
"4","work",317,326,1377,2020
"5","work",210,1977,996,3183
"6","work",209,80,32,321
"7","work",0,0,0,0
"8","work",0,0,0,0
"9","work",0,0,0,0
"1","univ",0,788,3246,4034
"2","univ",21,288,805,1114
"3","univ",3,813,43,859
"4","univ",90,112,391,593
"5","univ",45,1,79,125
"6","univ",57,6,20,83
"7","univ",0,0,0,0
"8","univ",0,1,0,1
"9","univ",0,0,0,0
"1","sch",0,52,1415,1467
"2","sch",17,2472,6267,8756
"3","sch",100,1125,12000,13225
"4","sch",240,484,2789,3513
"5","sch",91,497,810,1398
"6","sch",1,8,10,19
"7","sch",0,0,0,0
"8","sch",0,0,0,0
"9","sch",457,6267,12927,19651
"1","imain",0,6236,41672,47908
"2","imain",1291,1645,7304,10240
"3","imain",172,1890,3335,5397
"4","imain",981,1803,2456,5240
"5","imain",2,384,278,664
"6","imain",49,19,34,102
"7","imain",0,1,0,1
"8","imain",0,1,0,1
"9","imain",0,0,0,0
"1","idisc",0,2615,14859,17474
"2","idisc",326,1549,3932,5807
"3","idisc",121,1616,5172,6909
"4","idisc",333,959,1589,2881
"5","idisc",0,63,543,606
"6","idisc",53,13,4,70
"7","idisc",0,0,0,0
"8","idisc",0,0,0,0
"9","idisc",0,0,0,0
"1","jmain",0,0,0,0
"2","jmain",0,2074,7796,9870
"3","jmain",135,755,1483,2373
"4","jmain",98,465,166,729
"5","jmain",0,0,24,24
"6","jmain",1,0,0,1
"7","jmain",0,0,0,0
"8","jmain",0,0,0,0
"9","jmain",0,0,0,0
"1","jdisc",0,0,0,0
"2","jdisc",1,1361,5712,7074
"3","jdisc",0,744,2132,2876
"4","jdisc",103,71,157,331
"5","jdisc",3,0,15,18
"6","jdisc",34,1,0,35
"7","jdisc",0,0,0,0
"8","jdisc",0,0,0,0
"9","jdisc",0,0,0,0
"1","atwork",0,570,3671,4241
"2","atwork",0,161,739,900
"3","atwork",0,226,1223,1449
"4","atwork",83,161,255,499
"5","atwork",0,12,90,102
"6","atwork",0,4,4,8
"7","atwork",0,0,0,0
"8","atwork",0,0,0,0
"9","atwork",0,0,0,0
"1","Total",0,20492,116719,137211
"2","Total",1919,13336,41414,56669
"3","Total",573,7832,29906,38311
"4","Total",2245,4381,9180,15806
"5","Total",351,2934,2835,6120
"6","Total",404,131,104,639
"7","Total",0,1,0,1
"8","Total",0,2,0,2
"9","Total",457,6267,12927,19651
