TOD,SOV,HOV2,HOV3,Truck,Total
EA,317309,26548.707,11334.995,24516.099,379709.019
AM,372605,44600.508,18676.678,28527.453,464409.663
MD,1648384,234663.225,73188.581,236315.646,2192552.219
PM,471228,72053.080,27754.329,52591.354,623626.785
EV,460005,75708.645,29475.068,75142.881,640331.602
Daily,3269532,453574.165,160429.651,417093.433,4300629.287
