"esc_type","chauffeur","freq_out","freq_inb"
"Ride Share","FT Worker",5437,2859
"Pure Escort","FT Worker",732,1954
"Ride Share","PT Worker",1279,1224
"Pure Escort","PT Worker",901,1724
"Ride Share","Univ Stud",338,309
"Pure Escort","Univ Stud",244,519
"Ride Share","Non-Worker",0,0
"Pure Escort","Non-Worker",3751,5588
"Ride Share","Retiree",0,0
"Pure Escort","Retiree",85,132
"Ride Share","Total",7054,4392
"Pure Escort","Total",5713,9917
