"distbin","CENTRAL","GrantsPass","NORTHEAST","NORTHWEST","OtherJackson","OtherJosephine","SOUTH","Total"
1,1647,2949,5148,4596,351,236,1324,16251
2,1026,2932,3828,4321,723,340,1443,14613
3,350,1539,1711,1764,357,379,476,6576
4,757,951,2121,1959,489,549,306,7132
5,606,410,1159,843,340,374,129,3861
6,355,277,697,497,308,602,88,2824
7,142,176,330,222,212,279,44,1405
8,119,78,196,131,311,251,47,1133
9,112,114,113,73,306,231,22,971
10,53,29,98,29,140,165,8,522
11,17,11,59,38,217,247,20,609
12,24,0,52,10,367,244,23,720
13,9,1,30,17,155,158,7,377
14,10,0,12,11,109,171,5,318
15,5,0,13,10,157,166,1,352
16,1,0,8,5,80,104,2,200
17,0,0,10,1,136,94,0,241
18,0,0,5,0,23,71,1,100
19,0,0,0,0,33,86,0,119
20,0,1,4,0,30,98,0,133
21,0,1,2,0,11,38,0,52
22,0,1,0,0,8,38,0,47
23,0,0,0,0,14,1,0,15
24,0,0,0,0,20,4,0,24
25,0,0,0,1,11,0,0,12
26,0,0,0,0,3,0,0,3
27,0,0,0,0,2,1,0,3
28,0,0,0,0,2,0,0,2
29,0,0,0,0,1,0,0,1
30,0,0,0,0,1,0,0,1
31,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0
