"distbin","CENTRAL","GrantsPass","NORTHEAST","NORTHWEST","OtherJackson","OtherJosephine","SOUTH","Total"
1,565,1817,1628,1596,197,93,1515,7411
2,596,3142,3511,3411,315,190,2155,13320
3,658,2719,3799,3603,147,284,1176,12386
4,1028,1984,3818,3542,170,652,641,11835
5,823,858,2264,2365,159,660,263,7392
6,825,453,1589,1825,145,877,178,5892
7,642,216,1366,1453,160,728,169,4734
8,512,151,1232,1286,294,848,158,4481
9,708,109,1070,794,360,699,121,3861
10,518,115,802,448,408,558,112,2961
11,311,87,818,320,409,464,173,2582
12,339,76,751,182,470,427,238,2483
13,297,51,599,197,427,379,271,2221
14,197,33,368,154,520,264,318,1854
15,113,24,295,115,523,180,286,1536
16,93,20,214,90,457,100,288,1262
17,58,14,130,119,544,59,198,1122
18,41,8,98,121,369,25,140,802
19,28,10,61,79,384,27,102,691
20,12,10,62,45,365,19,65,578
21,14,6,72,53,403,26,74,648
22,8,10,54,27,494,24,54,671
23,3,14,31,22,314,28,53,465
24,4,33,52,20,246,19,31,405
25,1,51,50,14,208,24,18,366
26,2,79,27,24,171,31,12,346
27,6,79,19,35,122,26,7,294
28,1,145,34,18,132,43,3,376
29,3,193,20,14,133,40,8,411
30,1,241,22,23,55,55,7,404
31,3,205,19,13,73,45,1,359
32,4,196,28,15,65,74,4,386
33,5,170,17,11,66,85,1,355
34,5,107,23,7,37,111,3,293
35,7,83,15,5,47,87,4,248
36,9,44,13,1,18,102,0,187
37,7,16,3,5,28,92,1,152
38,7,17,6,1,18,63,2,114
39,2,13,4,1,8,74,2,104
40,3,10,1,1,9,58,1,83
41,9,136,4,2,50,235,48,484
