"","PERTYPE","MTF","freq"
"1","1","1",43180.021188237
"2","2","1",14644.625201107
"3","3","1",1317.67024521
"4","6","1",0
"5","7","1",0
"6","8","1",0
"7","Total","1",59142.316634554
"8","1","2",7114.35901662
"9","2","2",1577.16124685
"10","3","2",0
"11","6","2",0
"12","7","2",0
"13","8","2",0
"14","Total","2",8691.52026347
"15","1","3",727.33340123
"16","2","3",0
"17","3","3",4737.490115939
"18","6","3",4202.27513029
"19","7","3",27086.141277848
"20","8","3",4624.63928353
"21","Total","3",41377.879208837
"22","1","4",38.3245733
"23","2","4",0
"24","3","4",920.86934578
"25","6","4",561.41177245
"26","7","4",510.17510985
"27","8","4",271.04580268
"28","Total","4",2301.82660406
"29","1","5",317.1136351
"30","2","5",0
"31","3","5",803.61038567
"32","6","5",601.12401866
"33","7","5",0
"34","8","5",0
"35","Total","5",1721.84803943
