"District","Workers","WFH"
"CENTRAL",8391.6525926,438.27121602
"GrantsPass",10763.636939463,1509.87527279
"NORTHEAST",22122.83446201,1496.98192749
"NORTHWEST",19094.51055041,917.63571738
"OtherJackson",6870.5627162,345.91513695
"OtherJosephine",6950.51073324,404.81427082
"SOUTH",13231.6441642,1313.55398809
"Total",95506.617169273,6910.3085905
