CountLoc_ID,FACTYPE,ea_vol,am_vol,md_vol,pm_vol,ev_vol,day_vol
16010,3,0,243,3100,875,0,5550
16011,3,0,243,3100,875,0,5550
16020,3,0,374,4098,1168,0,7531
16021,3,0,374,4098,1168,0,7531
16030,3,0,207,2446,704,0,4587
16031,3,0,207,2446,704,0,4587
16040,3,0,180,1957,571,0,3600
16041,3,0,180,1957,571,0,3600
16050,3,0,164,1690,483,0,3075
16051,3,0,164,1690,483,0,3075
16060,3,0,123,1257,367,0,2308
16061,3,0,123,1257,367,0,2308
16070,4,0,82,898,273,0,1694
16071,4,0,82,898,273,0,1694
16080,4,0,54,561,167,0,1056
16081,4,0,54,561,167,0,1056
16090,4,0,32,387,112,0,703
16091,4,0,32,387,112,0,703
16110,4,0,14,165,47,0,287
16111,4,0,14,165,47,0,287
16250,3,0,769,7290,2196,0,13560
16251,3,0,770,7718,2337,0,14409
16270,3,0,1035,8549,2603,0,16255
16271,3,0,951,8478,2392,0,15734
16280,3,0,924,9530,2882,0,17758
16281,3,0,924,9530,2882,0,17758
16290,3,0,974,9521,2820,0,17558
16291,3,0,974,9521,2820,0,17558
16300,3,0,675,5785,1704,0,10770
16301,3,0,675,5785,1704,0,10770
16310,3,0,1092,6644,1694,0,11864
16311,3,0,630,5675,2117,0,11688
16320,3,0,955,6657,1937,0,12698
16321,3,0,955,6657,1937,0,12698
16330,3,0,1016,7332,2139,0,13756
16331,3,0,1016,7332,2139,0,13756
16340,3,0,897,6425,1869,0,12164
16341,3,0,897,6425,1869,0,12164
16350,3,0,1268,7655,1691,0,13377
16351,3,0,580,6014,2112,0,12191
16360,3,0,765,5099,1508,0,9618
16361,3,0,765,5099,1508,0,9618
16370,3,0,646,4665,1430,0,8952
16371,3,0,646,4665,1430,0,8952
16380,3,0,590,4201,1278,0,8123
16381,3,0,590,4201,1278,0,8123
16390,3,0,480,3299,990,0,6325
16391,3,0,480,3299,990,0,6325
16400,4,0,258,2155,598,0,3939
16401,4,0,258,2155,598,0,3939
16410,4,0,275,2130,583,0,3900
16411,4,0,275,2130,583,0,3900
16420,4,0,276,2098,577,0,3832
16421,4,0,276,2098,577,0,3832
16430,4,0,210,1652,466,0,3079
16431,4,0,210,1652,466,0,3079
16440,4,0,231,1782,493,0,3285
16441,4,0,231,1782,493,0,3285
16450,4,0,221,2054,574,0,3739
16451,4,0,221,2054,574,0,3739
16460,4,0,221,2139,580,0,3837
16461,4,0,221,2139,580,0,3837
16470,4,0,132,1245,351,0,2281
16471,4,0,132,1245,351,0,2281
16480,4,0,117,1102,308,0,1991
16481,4,0,117,1102,308,0,1991
16490,4,0,72,945,272,0,1698
16491,4,0,118,988,274,0,1781
16500,4,0,87,853,226,0,1503
16501,4,0,87,853,226,0,1503
16720,30,0,363,3035,754,0,5168
16730,3,0,631,6973,1674,0,12039
16740,3,0,668,7234,1752,0,12289
16750,3,0,617,8288,2126,0,14043
16760,3,0,644,8754,2294,0,14680
16770,3,0,699,10833,3028,0,18359
16780,3,0,662,9102,2478,0,15750
16810,3,0,546,8361,2459,0,14800
16820,3,0,578,8853,2588,0,15451
16830,3,0,760,10612,3125,0,19025
16840,3,0,793,10593,3204,0,19146
16851,3,0,252,2662,872,0,5083
16861,3,0,474,6450,1756,0,11509
16881,3,0,525,7750,1984,0,13104
16891,3,0,805,10240,2623,0,16975
16901,3,0,664,8703,2105,0,14674
16911,3,0,786,9101,2137,0,15164
16921,3,0,754,9120,2149,0,15101
16931,3,0,750,8740,2086,0,14458
16941,3,0,733,8924,2068,0,14638
16951,3,0,847,8825,2056,0,14526
16961,3,0,1029,10954,2678,0,18802
16971,3,0,1150,10768,2603,0,18408
16990,3,0,444,6337,2112,0,11992
16991,3,0,843,6942,1545,0,11902
17000,3,0,439,4523,1232,0,8094
17001,3,0,439,4523,1232,0,8094
17010,3,0,512,4982,1315,0,8780
17011,3,0,512,4982,1315,0,8780
17020,3,0,360,3451,896,0,6088
17021,3,0,360,3451,896,0,6088
17030,3,0,267,2710,710,0,4829
17031,3,0,267,2710,710,0,4829
17040,3,0,245,2551,669,0,4537
17041,3,0,245,2551,669,0,4537
17050,3,0,245,2506,639,0,4414
17051,3,0,245,2506,639,0,4414
17060,3,0,245,2578,673,0,4560
17061,3,0,245,2578,673,0,4560
17070,3,0,217,2299,572,0,4007
17071,3,0,217,2299,572,0,4007
17080,3,0,184,2103,547,0,3701
17081,3,0,184,2103,547,0,3701
17280,3,0,533,5019,1362,0,9210
17281,3,0,533,5019,1362,0,9210
17290,3,0,729,6727,1857,0,12519
17291,3,0,729,6727,1857,0,12519
17300,3,0,382,5026,1607,0,9891
17301,3,0,382,5026,1607,0,9891
17310,3,0,480,4163,1188,0,7803
17311,3,0,504,4162,1165,0,7869
17320,3,0,709,5215,1513,0,10064
17321,3,0,709,5215,1513,0,10064
26540,3,0,178,2021,580,0,3626
26541,3,0,178,2021,580,0,3626
26550,3,0,143,1569,487,0,2902
26551,3,0,143,1569,487,0,2902
26560,4,0,131,1229,377,0,2265
26561,4,0,131,1229,377,0,2265
26570,4,0,116,1072,338,0,1982
26571,4,0,116,1072,338,0,1982
26580,4,0,103,925,303,0,1743
26581,4,0,103,925,303,0,1743
26590,4,0,120,1097,354,0,2060
26591,4,0,120,1097,354,0,2060
26600,4,0,68,648,193,0,1176
26601,4,0,34,528,191,0,1050
26610,4,0,55,443,156,0,856
26611,4,0,55,443,156,0,856
26620,4,0,51,446,156,0,865
26621,4,0,51,446,156,0,865
26640,4,0,22,250,91,0,475
26641,4,0,22,250,91,0,475
26650,4,0,49,444,123,0,841
26651,4,0,49,444,123,0,841
27060,3,0,189,1360,446,0,2633
27061,3,0,212,1383,454,0,2757
27070,3,0,204,1550,463,0,2941
27071,3,0,204,1550,463,0,2941
27110,3,0,495,4207,1186,0,7789
27111,3,0,495,4207,1186,0,7789
27120,3,0,434,3865,886,0,6474
27121,3,0,250,3765,1358,0,7395
27130,3,0,374,3619,970,0,6525
27131,3,0,374,3619,970,0,6525
27140,3,0,426,4383,1181,0,7931
27141,3,0,426,4383,1181,0,7931
27380,3,0,406,4452,1238,0,8179
27381,3,0,406,4452,1238,0,8179
27390,3,0,354,3691,1014,0,6660
27391,3,0,354,3691,1014,0,6660
27400,3,0,385,3936,1085,0,7170
27401,3,0,385,3936,1085,0,7170
27410,3,0,1026,8533,2723,0,16061
27411,3,0,847,9204,2735,0,16372
27420,3,0,365,3730,1050,0,6765
27421,3,0,365,3730,1050,0,6765
27430,3,0,271,3699,1197,0,7041
27440,3,0,289,3223,1016,0,6152
27450,3,0,249,2447,685,0,4384
27461,3,0,417,3918,1017,0,6833
27471,3,0,356,3520,915,0,6132
27481,3,0,237,2639,719,0,4491
27490,3,0,145,1666,479,0,2977
27491,3,0,145,1666,479,0,2977
27500,3,0,181,2079,555,0,3662
27501,3,0,181,2079,555,0,3662
27510,3,0,250,2368,669,0,4354
27511,3,0,250,2368,669,0,4354
27520,3,0,210,2157,579,0,3812
27521,3,0,210,2157,579,0,3812
27530,3,0,171,2084,624,0,3818
27531,3,0,171,2084,624,0,3818
27540,3,0,463,4257,1195,0,7728
27541,3,0,463,4257,1195,0,7728
27550,3,0,348,4402,1255,0,7916
27551,3,0,348,4402,1255,0,7916
27560,3,0,266,3817,1088,0,6981
27561,3,0,266,3817,1088,0,6981
27570,3,0,234,3196,890,0,5737
27571,3,0,234,3196,890,0,5737
27580,3,0,337,5410,1420,0,9416
27590,3,0,309,5200,1462,0,9426
27600,3,0,280,4909,1425,0,9037
27611,3,0,285,5223,1603,0,9812
27621,3,0,332,5338,1553,0,9672
27640,3,0,103,1950,540,0,3606
27641,3,0,103,1950,540,0,3606
27650,3,0,89,1482,421,0,2724
27651,3,0,89,1482,421,0,2724
27660,3,0,68,731,198,0,1332
27661,3,0,48,808,278,0,1497
27670,4,0,28,424,139,0,799
27671,4,0,28,424,139,0,799
39030,5,0,9,95,25,0,173
39031,5,0,9,95,25,0,173
40210,4,0,98,999,294,0,1850
40211,4,0,98,999,294,0,1850
40220,4,0,114,1411,446,0,2635
40221,4,0,114,1411,446,0,2635
40230,4,0,76,947,266,0,1655
40231,4,0,76,947,266,0,1655
40240,4,0,81,721,182,0,1219
40241,4,0,41,645,226,0,1225
40250,4,0,59,544,159,0,959
40251,4,0,59,544,159,0,959
40260,5,0,35,275,71,0,489
40261,5,0,35,275,71,0,489
40280,5,0,79,542,101,0,876
40281,5,0,27,429,169,0,867
40290,5,0,28,223,63,0,401
40291,5,0,28,223,63,0,401
40300,5,0,44,296,88,0,534
40301,5,0,37,294,95,0,586
40310,5,0,48,407,120,0,762
40311,5,0,48,407,120,0,762
40320,5,0,74,550,161,0,1034
40321,5,0,74,550,161,0,1034
40330,3,0,224,1485,379,0,2750
40331,3,0,224,1485,379,0,2750
40340,3,0,211,1543,389,0,2805
40341,3,0,211,1543,389,0,2805
40350,3,0,108,944,286,0,1857
40351,3,0,40,1029,231,0,1638
40360,3,0,101,861,206,0,1551
40361,3,0,101,861,206,0,1551
40460,4,0,53,559,159,0,1043
40461,4,0,53,559,159,0,1043
40470,4,0,48,554,162,0,1051
40471,4,0,48,554,162,0,1051
40480,4,0,53,603,189,0,1105
40481,4,0,53,603,189,0,1105
40490,4,0,59,652,173,0,1144
40491,4,0,62,640,238,0,1268
40500,4,0,74,739,234,0,1385
40501,4,0,74,739,234,0,1385
40510,4,0,97,1021,340,0,1917
40511,4,0,97,1021,340,0,1917
40520,4,0,112,1103,368,0,2099
40521,4,0,112,1103,368,0,2099
40530,7,0,88,786,241,0,1511
40531,7,0,88,786,241,0,1511
40540,4,0,75,672,190,0,1226
40541,4,0,75,672,190,0,1226
40550,4,0,69,645,182,0,1185
40551,4,0,69,645,182,0,1185
