"comp","partysize","freq"
"All Adult",2,98.1398342191831
"All Children",2,100
"Mixed",2,54.3442047466048
"Total",2,84.515705953433
"All Adult",3,1.8601657808169
"All Children",3,0
"Mixed",3,25.3007211085356
"Total",3,9.14061649277317
"All Adult",4,0
"All Children",4,0
"Mixed",4,15.7967080615908
"Total",4,4.92305857699143
"All Adult",5,0
"All Children",5,0
"Mixed",5,4.55836608326875
"Total",5,1.42061897680238
