"","CENTRAL","GrantsPass","NORTHEAST","NORTHWEST","OtherJackson","OtherJosephine","SOUTH","Total"
"CENTRAL",927.70187646,187.24241869,2358.81797452,1102.77186103,38.65755207,0,1653.66565595,6268.85733872
"GrantsPass",0,6075.165199557,211.08947248,663.00638294,0,1356.05801803,0,8305.319073007
"NORTHEAST",941.54216085,85.93982451,8649.80476019,5787.46343215,449.17669883,30.76124696,711.1577822,16655.84590569
"NORTHWEST",690.37025394,0,5736.75385926,6889.10912763,251.8538793,89.45951262,732.45138473,14389.99801748
"OtherJackson",145.85502302,572.30159762,1802.72319147,956.50270989,1099.23129184,71.28552965,211.24710299,4859.14644648
"OtherJosephine",19.77665851,3106.29203029,282.44119559,260.30432358,52.21145431,1304.64008746,0,5025.66574974
"SOUTH",283.15230242,51.27599227,1503.97514192,1573.48432969,0,0,5052.46427308,8464.35203938
"Total",3008.3982752,10078.217062937,20545.60559543,17232.64216691,1891.13087635,2852.20439472,8360.98619895,63969.184570497
