"distbin","CENTRAL","GrantsPass","NORTHEAST","NORTHWEST","OtherJackson","OtherJosephine","SOUTH","Total"
1,333.81721118,707.45811441,1006.05501323,886.00517768,328.90251258,177.2033947,702.35196067,4141.79338445
2,0,2311.16063354,1496.25803263,1875.18135766,133.80594478,361.9461836,2564.35716759,8742.7093198
3,408.47151543,1031.00770447,2916.09444458,3138.40529407,23.18781999,41.67002039,948.76034354,8507.59714247
4,554.38872875,937.985570367,2802.36576382,2360.32248521,182.90891828,327.61744337,443.9164336,7609.505343397
5,136.73481254,1033.73709622,1220.3974838,1272.26285679,122.50181388,267.6803122,174.06699381,4227.38136924
6,373.82112822,1100.98611772,349.65356607,1789.52202846,97.30757836,124.14079955,0,3835.43121838
7,381.86480674,144.37969274,760.44005015,1111.68151203,107.41618696,975.88706195,82.07301733,3563.7423279
8,873.13440398,49.50215578,878.07542964,178.60213954,87.20215043,143.7877213,0,2210.30400067
9,946.66754396,33.95143292,1292.96119741,571.13448185,74.10740819,648.18122167,36.41821574,3603.42150174
10,731.5446942,0,260.29083148,55.60211514,49.61301995,273.36985389,88.70236316,1459.12287782
11,182.27596299,81.05469942,700.21748499,152.75544968,291.12594255,350.28287062,34.92805154,1792.64046179
12,368.42106628,0,839.11703578,27.28300856,332.17687996,155.44129998,149.3171427,1871.75643326
13,250.01406118,0,826.66344779,172.37199536,123.46801309,69.2140399,1048.5480441,2490.27960142
14,211.53079681,0,284.59157564,100.7762828,468.16866884,171.33455618,681.11316894,1917.51504921
15,228.80107752,0,0,136.4290157,129.11143878,216.42785887,164.04302503,874.8124159
16,0,0,159.08053052,0,249.89731783,65.10483428,195.30093553,669.38361816
17,61.46955818,0,283.86079295,27.56599228,314.1557235,0,266.58115832,953.63322523
18,0,0,296.5807827,85.67249951,143.19817202,0,262.5494954,788.00094963
19,0,0,0,0,193.3659401,0,135.80022264,329.16616274
20,0,0,0,0,185.20051995,41.6426453,162.22494861,389.06811386
21,0,0,0,68.19992926,239.64172411,0,46.750754,354.59240737
22,0,0,0,0,112.6241782,52.21145431,74.9631372,239.79876971
23,0,0,0,165.03401808,0,0,123.0264591,288.06047718
24,0,0,24.51500718,0,251.99409705,0,0,276.50910423
25,0,0,40.99766227,125.7308652,110.260486,0,27.28300856,304.27202203
26,0,25.21857062,62.39565842,0,0,0,0,87.61422904
27,38.65755207,28.68932878,0,0,59.61756617,0,0,126.96444702
28,0,0,38.53304317,0,89.55323333,0,0,128.0862765
29,0,53.40877435,85.93982451,0,56.77579951,0,0,196.12439837
30,0,328.813025,0,0,0,0,0,328.813025
31,0,134.32609488,0,0,0,17.99389352,0,152.3199884
32,0,33.95143292,30.76124696,0,33.83448959,19.77665851,0,118.32382798
33,73.88286049,129.54989386,0,0,62.47978859,0,0,265.91254294
34,113.3595582,87.42890629,0,0,56.77579951,0,0,257.564264
35,0,0,0,0,0,0,0,0
36,0,29.15111547,0,0,148.7673144,72.82598133,0,250.7444112
37,0,23.55871325,0,0,0,33.4229816,0,56.98169485
38,0,0,0,0,0,62.76404394,0,62.76404394
39,0,0,0,89.45951262,0,189.11078995,0,278.57030257
40,0,0,0,0,0,57.55864729,0,57.55864729
41,0,0,0,0,0,109.06918154,51.27599227,160.34517381
