"distbin","CENTRAL","GrantsPass","NORTHEAST","NORTHWEST","OtherJackson","OtherJosephine","SOUTH","Total"
1,0,17.96305213,741.72796338,572.01388937,0,0,715.24382524,2046.94873012
2,0,106.07620002,56.82890436,1015.41142092,0,39.17024712,834.09795306,2051.58472548
3,115.6323951,0,530.94625036,289.74654551,0,0,523.95143009,1460.27662106
4,35.03250631,0,106.893402,67.90099786,0,0,0,209.82690617
5,41.99558945,302.5973932,36.1384967,247.41356158,0,63.87780486,0,692.02284579
6,333.8955082,0,0,298.6342854,0,0,0,632.5297936
7,0,44.48129975,0,0,44.32565628,0,0,88.80695603
8,34.61816674,9.182687199,72.97673548,0,0,52.44620049,0,169.223789909
9,0,0,0,0,0,0,36.41821574,36.41821574
10,0,0,0,0,0,143.8556839,0,143.8556839
11,0,0,0,0,141.47130794,65.99980773,0,207.47111567
12,0,0,0,0,0,0,34.92805154,34.92805154
13,204.7570861,0,0,158.8676441,0,0,199.5969497,563.2216799
14,0,0,34.99526923,0,93.35277911,51.55478201,0,179.90283035
15,0,0,206.9383589,0,0,16.88410633,0,223.82246523
16,187.5378131,0,54.3188135,0,73.57783748,0,0,315.43446408
17,0,0,66.89974366,0,0,0,0,66.89974366
18,0,0,94.8241624,440.4282413,115.2399391,0,0,650.4923428
19,0,0,0,0,0,0,0,0
20,0,0,0,23.79539785,0,0,0,23.79539785
21,0,0,0,32.92148942,0,0,0,32.92148942
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,53.31131738,0,0,0,53.31131738
25,0,0,56.52145097,0,0,0,0,56.52145097
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,28.71429683,0,0,0,0,0,28.71429683
30,0,251.96499412,0,0,0,0,0,251.96499412
31,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0
41,0,121.23182531,0,0,0,0,0,121.23182531
