"timebin","purpose","freq_stop","freq_trip"
5,"esco",0,413.8917884
6,"esco",0,889.19504933
7,"esco",0,4696.75741126
8,"esco",352.20392856,3629.46250362
9,"esco",580.71069124,2401.1821081
1,"idisc",0,128.39105961
10,"idisc",1166.32920997,5157.63813403
11,"idisc",3218.30182169,7069.00904181
12,"idisc",1518.55724951,5976.84824521
13,"idisc",1427.82339453,4859.38954022
14,"idisc",2387.14408528,7193.00221283
15,"idisc",2928.88749056,6643.39405668
16,"idisc",2773.54551116,6414.63200006
17,"idisc",2999.54474976,7153.91156396
18,"idisc",3324.37619478,8626.47835883
19,"idisc",3012.72467138,6818.39578494
2,"idisc",210.827357,641.14292537
20,"idisc",2287.89922447,5075.56798228
21,"idisc",2360.25707011,6025.24494531
22,"idisc",1865.99828687,4951.30979075
23,"idisc",1733.39193748,4779.95271732
24,"idisc",2217.53289064,4905.95147709
25,"idisc",1316.80993667,5731.35041887
26,"idisc",1562.64241084,6149.55744113
27,"idisc",1438.76996224,3849.82258978
28,"idisc",1593.97224726,4832.65686457
29,"idisc",1737.311191,5515.73795006
3,"idisc",0,680.80056491
30,"idisc",1482.98299216,3387.04235461
31,"idisc",431.74489704,2752.48606587
32,"idisc",586.82629539,2863.71180338
33,"idisc",1202.20323021,3346.5757046
34,"idisc",472.16391559,1829.63519252
35,"idisc",252.03528053,1900.81221309
36,"idisc",221.3968134,531.78329909
37,"idisc",173.6526476,553.14454616
38,"idisc",41.01466389,117.29237304
39,"idisc",0,21.97375399
4,"idisc",105.4136785,1118.52837243
40,"idisc",270.48306315,553.81959869
5,"idisc",154.55684911,1541.06265348
6,"idisc",72.41113046,1792.66188388
7,"idisc",150.21602486,2876.56606137
8,"idisc",708.56626354,3121.37924497
9,"idisc",1111.75000173,5013.66166707
1,"imain",0,395.2085074
10,"imain",2048.23714395,7214.05195691
11,"imain",2223.90039458,7583.81033994
12,"imain",4275.29188492,10028.33907919
13,"imain",2735.60823356,8611.26707591
14,"imain",2615.14122308,8018.80401048
15,"imain",4256.0294855,9853.653943379
16,"imain",3322.47268284,8296.82508798
17,"imain",3977.30977745,8134.128658029
18,"imain",3797.410027769,9504.704162849
19,"imain",3320.62241332,8565.7641671
2,"imain",0,79.90518377
20,"imain",3925.841080419,11014.908506379
21,"imain",3167.886021068,8708.874516238
22,"imain",2855.698425068,7633.190992618
23,"imain",2484.96676312,6243.07954389
24,"imain",3101.39256331,7426.43797149
25,"imain",2613.84706868,6411.89919291
26,"imain",2763.94588595,5272.03743291
27,"imain",1931.45973908,4021.83200595
28,"imain",1030.58436922,2194.01414674
29,"imain",372.97589853,1542.26734428
3,"imain",83.94256373,286.1067801
30,"imain",276.23509241,1348.11356668
31,"imain",400.24112566,1605.92368819
32,"imain",154.21629266,1044.54055565
33,"imain",85.26026784,496.67905762
34,"imain",346.3318976,745.56116582
35,"imain",69.54075946,69.54075946
36,"imain",311.38088649,581.29382622
37,"imain",21.97375399,362.28855301
38,"imain",69.54075946,69.54075946
39,"imain",0,0
4,"imain",31.50726382,304.80076002
40,"imain",215.323975,215.323975
5,"imain",0,770.8420534
6,"imain",371.50781476,1364.17439856
7,"imain",186.75276398,1812.57581217
8,"imain",303.38276676,2991.19873682
9,"imain",674.07195535,3697.14393196
1,"jdisc",0,0
10,"jdisc",126.3544646,629.88271999
11,"jdisc",204.30384775,947.21301228
12,"jdisc",210.4100189,630.14093889
13,"jdisc",185.55213997,711.56696163
14,"jdisc",252.11583493,1298.40858266
15,"jdisc",606.02484086,1117.79094108
16,"jdisc",515.48744517,886.74295666
17,"jdisc",657.44184618,769.47787985
18,"jdisc",436.8467002,931.98494623
19,"jdisc",524.77639913,993.3546566
2,"jdisc",0,40.08661951
20,"jdisc",544.95695095,744.41701866
21,"jdisc",361.0567849,738.35296344
22,"jdisc",174.07592983,639.4875741
23,"jdisc",386.11940383,1381.03191685
24,"jdisc",164.67880693,796.03882544
25,"jdisc",512.40398209,1382.30938545
26,"jdisc",282.02494746,1684.01412555
27,"jdisc",149.37032204,1648.989784989
28,"jdisc",408.98667559,1881.35463616
29,"jdisc",539.49454597,2117.45461449
3,"jdisc",0,0
30,"jdisc",0,1568.07165449
31,"jdisc",314.63327674,787.2288324
32,"jdisc",444.31109319,1389.19506087
33,"jdisc",102.29288796,977.45078227
34,"jdisc",63.72498221,701.955846269
35,"jdisc",107.7291947,443.05166678
36,"jdisc",147.8717479,294.79894919
37,"jdisc",22.39922715,176.22044483
38,"jdisc",80.29475211,109.81701373
39,"jdisc",80.29475211,140.95186688
4,"jdisc",0,148.70499894
40,"jdisc",0,24.46596828
5,"jdisc",0,112.11134276
6,"jdisc",0,23.42974082
7,"jdisc",0,472.68167018
8,"jdisc",45.48842631,259.78016165
9,"jdisc",122.7337975,691.74757481
1,"jmain",0,0
10,"jmain",199.19461063,1553.15644174
11,"jmain",1577.39726064,3483.62898394
12,"jmain",847.0392782,3031.91994428
13,"jmain",1256.0895862,2784.73004275
14,"jmain",1471.83140177,2876.53273488
15,"jmain",1627.62594724,5386.30928763
16,"jmain",2518.48464239,4274.6230916
17,"jmain",2488.54444464,3289.92504015
18,"jmain",1071.73022039,3138.56955908
19,"jmain",699.61162525,2463.5734274
2,"jmain",21.97375399,74.44356575
20,"jmain",1026.56977247,2304.92421066
21,"jmain",1303.1705273,3221.89428871
22,"jmain",630.79374539,1872.61832205
23,"jmain",1437.24926886,2722.62265696
24,"jmain",1264.53746748,2045.82324663
25,"jmain",1319.56386,1976.54370767
26,"jmain",561.81652871,1371.502268038
27,"jmain",599.20675949,1893.14441534
28,"jmain",143.41520462,960.64266441
29,"jmain",570.75695499,1268.40993611
3,"jmain",0,0
30,"jmain",82.78426019,928.23582393
31,"jmain",231.39144146,766.88073222
32,"jmain",0,179.61287183
33,"jmain",0,165.15004244
34,"jmain",0,0
35,"jmain",0,0
36,"jmain",0,0
37,"jmain",0,0
38,"jmain",0,46.19669587
39,"jmain",0,0
4,"jmain",52.46981176,159.24357868
40,"jmain",0,0
5,"jmain",0,85.75544071
6,"jmain",52.46981176,52.46981176
7,"jmain",0,443.24143844
8,"jmain",27.14603127,1317.7824073
9,"jmain",1003.07441548,1715.76884218
1,"sch",0,0
10,"sch",140.63600174,1421.81555209
11,"sch",0,123.20170246
12,"sch",0,216.90182887
13,"sch",0,710.75536352
14,"sch",83.66131047,1026.07550266
15,"sch",0,1239.93841597
16,"sch",654.49278177,1719.32200008
17,"sch",464.9801153,1378.03604417
18,"sch",194.12817365,790.14453105
19,"sch",299.05285525,2051.60186519
2,"sch",0,0
20,"sch",416.91827507,4791.71974343
21,"sch",1602.97615047,9800.31137253
22,"sch",1418.09396358,8635.677113248
23,"sch",1537.56635474,8199.17763721
24,"sch",2105.78774643,3365.76278594
25,"sch",435.935512,1705.59692707
26,"sch",1453.00406465,1804.77128492
27,"sch",829.06038483,1558.04257083
28,"sch",555.54115271,1097.88920256
29,"sch",315.33554885,588.40229802
3,"sch",0,693.9794986
30,"sch",0,168.3661478
31,"sch",77.31636434,160.5912056
32,"sch",408.68460229,457.05577871
33,"sch",338.98017578,338.98017578
34,"sch",94.42392281,309.2612246
35,"sch",62.12299689,62.12299689
36,"sch",0,0
37,"sch",0,0
38,"sch",45.25421438,45.25421438
39,"sch",0,0
4,"sch",0,302.89946505
40,"sch",0,0
5,"sch",0,1634.71430138
6,"sch",829.8122725,8565.60157798
7,"sch",846.91521779,13194.23351766
8,"sch",587.29029739,7910.027114018
9,"sch",324.67627828,3117.04920255
1,"univ",0,115.0422354
10,"univ",0,1061.92302128
11,"univ",811.42944256,2269.50287813
12,"univ",151.01568487,532.27625385
13,"univ",451.3737949,1015.39725265
14,"univ",0,153.60511967
15,"univ",247.40739246,402.54556826
16,"univ",104.3840456,559.63928084
17,"univ",44.39201489,1024.97653215
18,"univ",499.84464328,1241.76075811
19,"univ",88.88491633,676.90644485
2,"univ",0,0
20,"univ",34.21010714,1389.50475777
21,"univ",346.9897493,538.20304775
22,"univ",55.19459202,708.59625328
23,"univ",44.61281921,910.14671406
24,"univ",0,769.11123382
25,"univ",108.74172502,1515.45621992
26,"univ",263.6269691,1025.08565769
27,"univ",0,404.2272663
28,"univ",198.4155012,267.06127381
29,"univ",289.7367364,552.44891917
3,"univ",0,0
30,"univ",198.4155012,438.84505023
31,"univ",0,88.56405992
32,"univ",0,400.03341146
33,"univ",0,0
34,"univ",0,222.19559343
35,"univ",50.16444336,200.99325182
36,"univ",0,0
37,"univ",0,0
38,"univ",0,0
39,"univ",0,0
4,"univ",0,0
40,"univ",0,0
5,"univ",0,206.1607997
6,"univ",0,819.25124775
7,"univ",123.799304,863.96531718
8,"univ",0,1172.49249883
9,"univ",0,526.380873
1,"work",0,1682.68989989
10,"work",2406.75918272,6219.92198271
11,"work",1971.73741173,5050.96844743
12,"work",1744.50535516,4127.49789051
13,"work",2113.62735063,4120.99174579
14,"work",2587.14775098,5025.37978477
15,"work",2517.60443821,5770.09496435
16,"work",2945.12561613,6734.39447596
17,"work",2603.55078475,7028.22100505
18,"work",2977.72775754,5227.65611719
19,"work",2101.31069601,5275.77815962
2,"work",0,1715.7262625
20,"work",1669.45661493,5576.59692195
21,"work",3963.46328234,8541.11217584
22,"work",3264.88026192,8063.14745871
23,"work",2422.55304784,8758.05715493
24,"work",3563.30424147,10737.00541433
25,"work",4855.57627238,13719.38471585
26,"work",5306.74548046,13766.48564098
27,"work",2716.32218217,6872.12648475
28,"work",2060.63360733,7566.74877828
29,"work",1799.24288819,2972.09370075
3,"work",641.9421634,4825.70311934
30,"work",933.972281,2743.71224156
31,"work",1186.38449101,2531.75309165
32,"work",781.51565442,1789.54132243
33,"work",799.91888955,1496.67106872
34,"work",303.41640459,1168.99876421
35,"work",577.30939214,1597.59896958
36,"work",375.32853962,1302.04365553
37,"work",96.15574071,472.70218323
38,"work",296.77535497,728.10667292
39,"work",111.9383311,901.22136401
4,"work",80.29475211,4390.16197398
40,"work",173.06803285,922.80400718
5,"work",900.77453727,7405.5093148
6,"work",2414.56629236,12192.48738277
7,"work",3042.63308044,15668.2595384
8,"work",4025.23402176,11352.31051651
9,"work",2515.38945851,9064.85468061
1,"Total",0,2456.4946669
10,"Total",6297.14603815,24957.38353364
11,"Total",10343.37023094,27637.29235577
12,"Total",8881.48953412,25378.15826094
13,"Total",8513.10086597,24394.5945672
14,"Total",9795.73019807,27595.8907912
15,"Total",12728.74085923,32861.297765089
16,"Total",13717.78373995,32006.09781514
17,"Total",14433.41357394,31529.776623229
18,"Total",14237.930136889,33077.408949389
19,"Total",11093.0643317,29319.02883497
2,"Total",232.80111099,2588.93302469
20,"Total",10917.614584699,34367.880684589
21,"Total",13964.977834478,40351.660386658
22,"Total",10729.177368008,35112.191168746
23,"Total",10722.24823218,35363.75439308
24,"Total",14222.22127316,31391.01426797
25,"Total",12115.58177439,33798.65627046
26,"Total",13365.20097235,31920.762257408
27,"Total",8239.15846937,20991.651717639
28,"Total",6397.6305281,19709.9875527
29,"Total",5902.98117189,14942.99550324
3,"Total",798.03316409,6838.1916137
30,"Total",3302.3330968,10849.71626666
31,"Total",2960.50894309,9036.09622125
32,"Total",2410.844072,8708.5159263
33,"Total",2683.49342256,7239.86613477
34,"Total",1280.0611228,5162.659114839
35,"Total",1152.82590228,4416.59515784
36,"Total",1126.3798467,2743.84356523
37,"Total",314.18136945,1564.35572723
38,"Total",532.87974481,1308.0839325
39,"Total",308.60917871,1296.89917588
4,"Total",269.68550619,6424.3391491
40,"Total",658.875071,1716.41354915
5,"Total",1055.33138638,12170.04769463
6,"Total",3740.76732184,25699.27109285
7,"Total",4350.31639107,40028.28076666
8,"Total",6049.31173559,31754.433183718
9,"Total",6332.40659809,26398.45974411
