"timebin","purpose","freq_stop","freq_trip"
1,"atwork",0,72.14843696
10,"atwork",0,121.04991665
11,"atwork",101.63039349,664.78343222
12,"atwork",134.67006256,834.23408014
13,"atwork",208.72258292,1206.49945897
14,"atwork",334.64107884,1477.28203772
15,"atwork",468.0842747,806.64140566
16,"atwork",753.39806937,1665.83941147
17,"atwork",141.21272265,1301.3856077
18,"atwork",1042.15813546,2413.83289027
19,"atwork",487.76556774,1033.29890755
2,"atwork",0,0
20,"atwork",453.14175715,1154.85694214
21,"atwork",356.95905735,675.50244168
22,"atwork",273.00153847,803.37513422
23,"atwork",269.95012482,365.86134215
24,"atwork",1447.5453444,278.7263838
25,"atwork",703.90365921,151.73955944
26,"atwork",903.94068498,224.95559617
27,"atwork",535.67645699,319.41800396
28,"atwork",293.01515793,226.41306515
29,"atwork",96.99141137,35.29013405
3,"atwork",72.14843696,72.14843696
30,"atwork",179.31582922,0
31,"atwork",318.79734684,0
32,"atwork",0,0
33,"atwork",119.54783717,119.54783717
34,"atwork",0,0
35,"atwork",0,0
36,"atwork",70.40185929,0
37,"atwork",0,0
38,"atwork",0,0
39,"atwork",0,0
4,"atwork",0,0
40,"atwork",0,0
5,"atwork",0,0
6,"atwork",0,0
7,"atwork",0,0
8,"atwork",0,0
9,"atwork",0,170.67086383
1,"esco",0,63.01452764
10,"esco",209.63542454,1577.94380824
11,"esco",234.6696585,445.17451756
12,"esco",0,0
13,"esco",134.30378326,373.99712576
14,"esco",64.04751272,526.80080553
15,"esco",77.0769897,1640.92918208
16,"esco",130.39294552,1454.07951049
17,"esco",1056.43711832,1449.71429217
18,"esco",893.70828382,1202.27762578
19,"esco",558.31518729,1440.35542172
2,"esco",0,37.62846779
20,"esco",558.6208021,2315.38460132
21,"esco",502.21919164,2102.16463516
22,"esco",191.44062486,1804.78852977
23,"esco",405.83851228,2003.82470971
24,"esco",357.4422125,1066.15692943
25,"esco",248.79975834,1204.37614328
26,"esco",267.4540002,622.35281002
27,"esco",39.29266253,424.04859574
28,"esco",113.06661224,683.20692102
29,"esco",181.13599659,350.89060631
3,"esco",0,279.45321379
30,"esco",148.62714062,267.32942736
31,"esco",0,342.6685454
32,"esco",35.29013405,584.82512197
33,"esco",35.29013405,298.81146617
34,"esco",0,185.05132799
35,"esco",33.9238352,142.47530022
36,"esco",0,33.9238352
37,"esco",0,0
38,"esco",0,191.8762031
39,"esco",116.3760955,232.752191
4,"esco",0,0
40,"esco",0,0
