"distbin","PURPOSE","freq"
1,"work",1979.4001126
10,"work",889.59200228
11,"work",621.40549384
12,"work",740.21912132
13,"work",100.50007904
14,"work",227.51170582
15,"work",192.88705993
16,"work",156.40268303
17,"work",291.24331689
18,"work",724.83093727
19,"work",0
2,"work",30424.29875119
20,"work",230.78808191
21,"work",30.26319037
22,"work",0
23,"work",0
24,"work",35.57488605
25,"work",0
26,"work",106.43990615
27,"work",0
28,"work",0
29,"work",0
3,"work",12253.45373353
30,"work",253.42417766
31,"work",325.16553201
32,"work",202.6529312
33,"work",0
34,"work",0
35,"work",191.5709005
36,"work",0
37,"work",44.43948998
38,"work",0
39,"work",201.6308807
4,"work",5756.54028393
40,"work",0
41,"work",0
42,"work",93.2056478
5,"work",3096.75307437
6,"work",2747.76367922
7,"work",1909.84409516
8,"work",1656.28697763
9,"work",996.10783048
1,"univ",0
10,"univ",0
11,"univ",747.5266316
12,"univ",0
13,"univ",0
14,"univ",0
15,"univ",177.76983266
16,"univ",0
17,"univ",0
18,"univ",0
19,"univ",0
2,"univ",2183.15422633
20,"univ",0
21,"univ",0
22,"univ",0
23,"univ",0
24,"univ",0
25,"univ",0
26,"univ",0
27,"univ",0
28,"univ",0
29,"univ",0
3,"univ",323.18986334
30,"univ",0
31,"univ",0
32,"univ",0
33,"univ",0
34,"univ",0
35,"univ",24.19383833
36,"univ",0
37,"univ",0
38,"univ",0
39,"univ",0
4,"univ",237.12112219
40,"univ",0
41,"univ",0
42,"univ",0
5,"univ",0
6,"univ",41.01466389
7,"univ",168.5893684
8,"univ",0
9,"univ",0
1,"sch",490.36349547
10,"sch",544.9370406
11,"sch",0
12,"sch",282.77742509
13,"sch",77.10787342
14,"sch",0
15,"sch",0
16,"sch",263.3715981
17,"sch",0
18,"sch",148.4538331
19,"sch",0
2,"sch",6073.35080017
20,"sch",0
21,"sch",177.6768278
22,"sch",75.68817028
23,"sch",0
24,"sch",0
25,"sch",0
26,"sch",0
27,"sch",0
28,"sch",0
29,"sch",0
3,"sch",2669.89817405
30,"sch",119.0010151
31,"sch",0
32,"sch",0
33,"sch",0
34,"sch",0
35,"sch",0
36,"sch",0
37,"sch",0
38,"sch",0
39,"sch",0
4,"sch",3001.06951045
40,"sch",0
41,"sch",0
42,"sch",188.58195163
5,"sch",166.66323749
