"","PERTYPE","DAP","freq"
"1","1","H",5841.91660298
"2","2","H",5246.21121597
"3","3","H",948.57202318
"4","4","H",22837.91804372
"5","5","H",21934.54405215
"6","6","H",396.77173297
"7","7","H",2947.46495175
"8","8","H",13402.965697157
"9","Total","H",73556.364319877
"10","1","M",51377.151814487
"11","2","M",16221.786447957
"12","3","M",7779.640092599
"13","4","M",0
"14","5","M",0
"15","6","M",5364.8109214
"16","7","M",27596.316387698
"17","8","M",4895.68508621
"18","Total","M",113235.390750351
"19","1","N",5922.989923029
"20","2","N",6690.00877972
"21","3","N",1778.19001667
"22","4","N",22816.11750515
"23","5","N",25078.484627387
"24","6","N",160.60333846
"25","7","N",2723.86973612
"26","8","N",6469.56567899
"27","Total","N",71639.829605526
