"","HHSIZE","JOINT","freq"
"1",2,0,31174.62972397
"2",2,1,12357.22776734
"3",3,0,11221.61841407
"4",3,1,3804.80921072
"5",4,0,8235.83944342
"6",4,1,3280.847498279
"7",5,0,5457.12464446
"8",5,1,3762.60971679
