"esc_type","child_type","freq_out","freq_inb"
"Ride Share","Driv Student",8361.73891977455,3041.10203548826
"Pure Escort","Driv Student",10933.6690335177,9022.41277413447
"No Escort","Driv Student",85903.070283587,93134.9634272565
"Ride Share","Non-DrivStudent",69965.3415485403,42452.7718641724
"Pure Escort","Non-DrivStudent",106673.65211975,96836.4176982029
"No Escort","Non-DrivStudent",352382.54945879,389509.117135451
"Ride Share","Pre-Schooler",38965.0641399194,31549.1482138166
"Pure Escort","Pre-Schooler",36294.6903007953,40501.0692718688
"No Escort","Pre-Schooler",42641.5547835741,45851.0917386034
"Ride Share","Total",117292.144608234,77043.0221134772
"Pure Escort","Total",153902.011454063,146359.899744206
"No Escort","Total",480927.174525951,528495.172301311
