"","PERTYPE","TOURPURP","freq"
"1",1,4,2297.68388961
"2",1,5,5033.19000984
"3",1,6,4637.30867928
"4",1,7,2165.67723607
"5",1,8,1638.04928849
"6",1,9,5020.41585847
"7",2,4,2930.45886065
"8",2,5,2412.47824016
"9",2,6,3129.90697585
"10",2,7,365.54666622
"11",2,8,499.22621802
"12",2,9,4180.62630196
"13",3,4,1362.69667094
"14",3,5,1012.55461719
"15",3,6,676.29944754
"16",3,7,195.15858337
"17",3,8,1384.57534731
"18",3,9,478.76779531
"19",4,4,2535.19637887
"20",4,5,8887.4475703
"21",4,6,7350.953074269
"22",4,7,808.89718918
"23",4,8,3266.40001911
"24",4,9,8582.23239917
"25",5,4,1366.04392266
"26",5,5,9124.26028279
"27",5,6,9915.93521207
"28",5,7,2425.66999152
"29",5,8,2541.69469285
"30",5,9,9960.0071299
"31",6,4,33.17396057
"32",6,6,156.8331243
"33",6,8,518.89646471
"34",6,9,128.77563967
"35",7,4,522.70549295
"36",7,5,127.64069737
"37",7,6,320.2563059
"38",7,7,499.42629919
"39",7,8,1408.84193376
"40",7,9,3116.16327764
"41",8,4,3878.26383538
"42",8,5,289.6184551
"43",8,6,407.1742336
"44",8,7,247.598608
"45",8,8,2196.08053278
"46",8,9,1585.25816109
