"distbin","PURPOSE","freq"
1,"esco",2337.11968603
10,"esco",21.97375399
11,"esco",125.49173858
12,"esco",61.75283597
13,"esco",250.1030956
14,"esco",0
15,"esco",57.94944076
16,"esco",31.50726382
17,"esco",37.42489182
18,"esco",80.5363237
19,"esco",0
2,"esco",3369.90493817
20,"esco",79.44660584
21,"esco",0
22,"esco",0
23,"esco",0
24,"esco",0
25,"esco",48.39791995
26,"esco",177.6768278
27,"esco",0
28,"esco",0
29,"esco",0
3,"esco",2279.8829888
30,"esco",76.48060324
31,"esco",0
32,"esco",39.29266253
33,"esco",0
34,"esco",0
35,"esco",0
36,"esco",0
37,"esco",0
38,"esco",0
39,"esco",0
4,"esco",2010.63285983
40,"esco",0
41,"esco",0
5,"esco",833.68454132
6,"esco",568.09431876
7,"esco",442.77631488
8,"esco",755.73410743
9,"esco",217.47626995
1,"imain",8752.65673461
10,"imain",1118.79771824
11,"imain",729.94744238
12,"imain",517.477688039
13,"imain",860.72747141
14,"imain",999.97767333
15,"imain",1186.88750321
16,"imain",561.98278019
17,"imain",234.79391739
18,"imain",60.30660539
19,"imain",142.44772587
2,"imain",9738.72775181
20,"imain",85.75544071
21,"imain",65.37379366
22,"imain",209.61531576
23,"imain",89.66676783
24,"imain",67.08677061
25,"imain",32.20771115
26,"imain",177.6768278
27,"imain",0
28,"imain",0
29,"imain",160.17024508
3,"imain",7423.53223544
30,"imain",72.17756741
31,"imain",58.6964359
32,"imain",30.12547667
33,"imain",0
34,"imain",68.31809813
35,"imain",113.06003056
36,"imain",68.77843387
37,"imain",0
38,"imain",0
39,"imain",0
4,"imain",5232.91841329
40,"imain",0
41,"imain",364.94775127
5,"imain",2945.12560619
6,"imain",1814.09692775
7,"imain",2476.65587027
8,"imain",1594.43120834
9,"imain",1331.08265581
1,"idisc",9289.70441733
10,"idisc",940.63520426
11,"idisc",1091.37994507
12,"idisc",762.21798904
13,"idisc",758.03264506
14,"idisc",422.65799778
15,"idisc",797.40467057
16,"idisc",971.11831467
17,"idisc",344.41876542
18,"idisc",173.77882893
19,"idisc",77.95178775
2,"idisc",7552.26015102
20,"idisc",208.85171983
21,"idisc",81.40601458
22,"idisc",419.04954114
23,"idisc",104.3840456
24,"idisc",34.17374421
25,"idisc",97.12578587
26,"idisc",63.41082831
27,"idisc",68.34633966
28,"idisc",0
29,"idisc",75.79745391
3,"idisc",6263.55320958
30,"idisc",0
31,"idisc",49.90157084
32,"idisc",0
33,"idisc",21.97375399
34,"idisc",0
35,"idisc",0
36,"idisc",34.73831078
37,"idisc",0
38,"idisc",147.88813575
39,"idisc",34.73831078
4,"idisc",5707.08028268
40,"idisc",0
41,"idisc",211.92762509
5,"idisc",4453.19545977
6,"idisc",2551.32906584
7,"idisc",1741.67563005
8,"idisc",1339.20189693
9,"idisc",2358.4534615
1,"jmain",1121.16741066
10,"jmain",392.75210685
11,"jmain",443.09812999
