"distbin","PURPOSE","freq"
12,"jmain",72.89875279
13,"jmain",236.89219197
14,"jmain",236.10112447
15,"jmain",344.34489878
16,"jmain",256.27907795
17,"jmain",115.62382947
18,"jmain",51.97386915
19,"jmain",85.75544071
2,"jmain",2947.40354481
20,"jmain",37.46906757
21,"jmain",131.62808017
22,"jmain",0
23,"jmain",0
24,"jmain",179.48731088
25,"jmain",0
26,"jmain",85.75544071
27,"jmain",0
28,"jmain",20.48597147
29,"jmain",0
3,"jmain",1807.76141253
30,"jmain",22.73005568
31,"jmain",209.94756065
32,"jmain",0
33,"jmain",0
34,"jmain",0
35,"jmain",0
36,"jmain",151.4133243
37,"jmain",0
38,"jmain",0
39,"jmain",0
4,"jmain",2815.294788829
40,"jmain",0
41,"jmain",0
5,"jmain",944.22210767
6,"jmain",1106.35922693
7,"jmain",392.64173286
8,"jmain",305.80263339
9,"jmain",251.61442156
1,"jdisc",712.42782099
10,"jdisc",100.94331732
11,"jdisc",152.73231317
12,"jdisc",500.81434235
13,"jdisc",387.4854518
14,"jdisc",207.87461905
15,"jdisc",318.084891099
16,"jdisc",218.28227643
17,"jdisc",104.4841717
18,"jdisc",15.18787661
19,"jdisc",109.0999749
2,"jdisc",1724.87007948
20,"jdisc",34.82890349
21,"jdisc",0
22,"jdisc",85.75544071
23,"jdisc",122.55368319
24,"jdisc",85.75544071
25,"jdisc",0
26,"jdisc",0
27,"jdisc",0
28,"jdisc",0
29,"jdisc",0
3,"jdisc",1511.71446163
30,"jdisc",0
31,"jdisc",0
32,"jdisc",63.72498221
33,"jdisc",108.6458105
34,"jdisc",0
35,"jdisc",0
36,"jdisc",0
37,"jdisc",0
38,"jdisc",0
39,"jdisc",0
4,"jdisc",1033.38131974
40,"jdisc",0
41,"jdisc",0
5,"jdisc",451.33445306
6,"jdisc",782.73927252
7,"jdisc",0
8,"jdisc",374.72130363
9,"jdisc",380.52422623
1,"atwork",2361.32255982
10,"atwork",164.85668007
11,"atwork",136.589408
12,"atwork",0
13,"atwork",0
14,"atwork",97.78057028
15,"atwork",0
16,"atwork",0
17,"atwork",0
18,"atwork",37.85307475
19,"atwork",0
2,"atwork",1427.01680917
20,"atwork",0
21,"atwork",0
22,"atwork",0
23,"atwork",0
24,"atwork",0
25,"atwork",0
26,"atwork",0
27,"atwork",72.14843696
28,"atwork",0
29,"atwork",0
3,"atwork",492.7329317
30,"atwork",0
31,"atwork",0
32,"atwork",0
33,"atwork",54.66994482
34,"atwork",0
35,"atwork",0
36,"atwork",0
37,"atwork",0
38,"atwork",0
39,"atwork",0
4,"atwork",761.98699347
40,"atwork",0
41,"atwork",0
5,"atwork",489.09751888
6,"atwork",165.53170078
7,"atwork",67.37114825
8,"atwork",0
9,"atwork",0
1,"Total",24574.39862944
10,"Total",2739.95878073
11,"Total",2679.23897719
12,"Total",1915.161608189
13,"Total",2493.24085584
14,"Total",1964.39198491
15,"Total",2704.671404419
16,"Total",2039.16971306
17,"Total",836.7455758
18,"Total",419.63657853
19,"Total",415.25492923
2,"Total",26760.18327446
20,"Total",446.35173744
21,"Total",278.40788841
22,"Total",714.42029761
23,"Total",316.60449662
24,"Total",366.50326641
25,"Total",177.73141697
26,"Total",504.51992462
27,"Total",140.49477662
28,"Total",20.48597147
29,"Total",235.96769899
3,"Total",19779.17723968
30,"Total",171.38822633
31,"Total",318.54556739
32,"Total",133.14312141
33,"Total",185.28950931
34,"Total",68.31809813
35,"Total",113.06003056
36,"Total",254.93006895
37,"Total",0
38,"Total",147.88813575
39,"Total",34.73831078
4,"Total",17561.294657839
40,"Total",0
41,"Total",576.87537636
5,"Total",10116.65968689
6,"Total",6988.15051258
7,"Total",5121.12069631
8,"Total",4369.89114972
9,"Total",4539.15103505
