"DropOff","Ride Share","Pure Escort","No Escort","Total"
"Ride Share",25339.1111302549,7279.42028407542,46376.6273688346,78995.158783165
"Pure Escort",3782.85637771356,5566.65247818976,12063.2574824065,21412.7663383098
"No Escort",21705.7147643689,13331.0026319505,331640.971062011,366677.68845833
"Total",50827.6822723374,26177.0753942157,390080.855913252,467085.613579805
