"pertype","tour_purp","tour_rate"
"FT Worker","Escorting",0.0363891192336438
"PT Worker","Escorting",0.104071957882202
"Univ Stud","Escorting",0.129701552801916
"Non Worker","Escorting",0.0555306085955144
"Retiree","Escorting",0.0290567096191909
"Driv Stud","Escorting",0.00560164111869566
"NonDriv Stud","Escorting",0.0157121250238758
"Pre-School","Escorting",0.156582281218118
"All","Escorting",0.057756961210285
"FT Worker","Shopping",0.0797121624179296
"PT Worker","Shopping",0.0856764574220879
"Univ Stud","Shopping",0.096375010629255
"Non Worker","Shopping",0.194669484602002
"Retiree","Shopping",0.194079397542866
"Driv Stud","Shopping",0
"NonDriv Stud","Shopping",0.00383678117460298
"Pre-School","Shopping",0.0116931493852278
"All","Shopping",0.104039875414162
"FT Worker","Maintenance",0.0734424692694231
"PT Worker","Maintenance",0.111155133873342
"Univ Stud","Maintenance",0.0643702229378077
"Non Worker","Maintenance",0.161014310912345
"Retiree","Maintenance",0.210918876970503
"Driv Stud","Maintenance",0.0264823030701633
"NonDriv Stud","Maintenance",0.00962665819635215
"Pre-School","Maintenance",0.016439384491767
"All","Maintenance",0.102907959513449
"FT Worker","EatingOut",0.0342984896753207
"PT Worker","EatingOut",0.0129819796352264
"Univ Stud","EatingOut",0.0185752059467868
"Non Worker","EatingOut",0.0177179778185024
"Retiree","EatingOut",0.0515956971854443
"Driv Stud","EatingOut",0
"NonDriv Stud","EatingOut",0.0150123703671036
"Pre-School","EatingOut",0.00999662645779534
"All","EatingOut",0.0259564812171325
"FT Worker","Visiting",0.0259422852460203
"PT Worker","Visiting",0.0177294589025366
"Univ Stud","Visiting",0.13178396656204
"Non Worker","Visiting",0.0715467971196874
"Retiree","Visiting",0.0540636237281242
"Driv Stud","Visiting",0.0876190760199407
"NonDriv Stud","Visiting",0.0423487047690801
"Pre-School","Visiting",0.0886652672838848
"All","Visiting",0.0520592887820195
"FT Worker","Discretionary",0.0795098542939036
"PT Worker","Discretionary",0.148470251625474
"Univ Stud","Discretionary",0.0455691481512331
"Non Worker","Discretionary",0.187984091570245
"Retiree","Discretionary",0.211856317485778
"Driv Stud","Discretionary",0.0217446125173895
"NonDriv Stud","Discretionary",0.0936694709993677
"Pre-School","Discretionary",0.064003726852892
"All","Discretionary",0.127895538019007
"FT Worker","All",0.329294380136241
"PT Worker","All",0.480085239340869
"Univ Stud","All",0.486375107029038
"Non Worker","All",0.688463270618296
"Retiree","All",0.751570622531907
"Driv Stud","All",0.141447632726189
"NonDriv Stud","All",0.180206110530382
"Pre-School","All",0.347380435689685
"All","All",0.470616104156055
