"","PERTYPE","freq"
"1",1,63142.058340496
"2",2,28158.006443647
"3",3,10506.402132449
"4",4,45654.03554887
"5",5,47013.028679537
"6",6,5922.18599283
"7",7,33267.651075568
"8",8,24768.216462357
