"esc_type","chauffeur","freq_out","freq_inb"
"Ride Share","FT Worker",81410.3521111345,51543.8986281369
"Pure Escort","FT Worker",37486.0930739302,37362.547521655
"Ride Share","PT Worker",29371.425628224,20305.475160965
"Pure Escort","PT Worker",35206.9293941658,33273.4359067538
"Ride Share","Univ Stud",5373.38837464584,4489.45540905762
"Pure Escort","Univ Stud",11430.8078997771,10417.2425558722
"Ride Share","Non-Worker",0,0
"Pure Escort","Non-Worker",66993.747833682,62469.4923078888
"Ride Share","Retiree",0,0
"Pure Escort","Retiree",2735.0668023288,2528.703001284
"Ride Share","Driv Student",1136.9784942299,704.1929153177
"Pure Escort","Driv Student",49.3664501793,308.4784507522
"Ride Share","Total",117292.144608234,77043.0221134772
"Pure Escort","Total",153902.011454063,146359.899744206
