"purpose","avgTripLength"
"esco",4.00920134834042
"imain",5.08068890266533
"idisc",5.17470216305689
"jmain",5.97964403681485
"jdisc",6.62851080025186
"atwork",3.02799914716996
"Total",5.46360304818678
